"model_names","location.fun","scale.fun","shape.fun","AIC","BIC"
"model_01","~name_car","~name_car","~name_car","17363.3679286137","21560.1198190103"
"model_02","~name_car","~1","~1","13658.567376959","15310.3962754391"
"model_03","~1","~name_car","~1","13231.8457706292","14646.5700425331"
"model_04","~1","~1","~name_car","14361.4840406178","16250.4175656739"
"model_05","~name_car","~name_car","~1","12967.5162026489","14903.8706530202"
"model_06","~name_car","~1","~name_car","15344.3153191973","18134.2464252426"
"model_07","~1","~name_car","~name_car","13853.5793712575","16169.3012241506"
