"model_names","location.fun","scale.fun","shape.fun","AIC","BIC"
"model_01","~name_tree","~name_tree","~name_tree","-19981.0978922478","-17388.7539750159"
"model_02","~name_tree","~1","~1","-20708.1239435746","-19688.5740492974"
"model_03","~1","~name_tree","~1","-21869.8606912107","-20731.7584836455"
"model_04","~1","~1","~name_tree","-21113.8499441207","-20015.2651743181"
"model_05","~name_tree","~name_tree","~1","-20774.1115479518","-19311.9663507327"
"model_06","~name_tree","~1","~name_tree","-20138.0342602719","-18438.7844364767"
"model_07","~1","~name_tree","~name_tree","-21017.9012501117","-19081.5467997403"
