"model_names","location.fun","scale.fun","shape.fun","AIC","BIC"
"model_02","~name_truck","~1","~1","-2411.18160723411","-1077.25496386353"
"model_03","~1","~name_truck","~1","-2689.84977044891","-1317.59190169412"
"model_04","~1","~1","~name_truck","-2386.54713635452","-630.977013757609"
"model_05","~name_truck","~name_truck","~1","-2163.584714335","-285.354670508612"
"model_06","~name_truck","~1","~name_truck","448.198244592302","2970.39287487346"
"model_07","~1","~name_truck","~name_truck","-1485.08716407787","623.130232053794"
