"model_names","location.fun","scale.fun","shape.fun","AIC","BIC"
"model_01","~name_fence","~name_fence","~name_fence","-16917.2507067192","-13992.9603122808"
"model_02","~name_fence","~1","~1","-21429.9754765141","-20133.8035178982"
"model_03","~1","~name_fence","~1","-20947.9616366316","-19375.1676136769"
"model_04","~1","~1","~name_fence","-19917.2962084456","-18463.0544987789"
"model_05","~name_fence","~name_fence","~1","-19411.2580197308","-17237.7989427834"
"model_07","~1","~name_fence","~name_fence","-18580.7471265034","-16549.5508255016"
