"model_names","location.fun","scale.fun","shape.fun","AIC","BIC"
"model_01","~name_electric.pole","~name_electric.pole","~name_electric.pole","-5428.84606770722","2529.96589769666"
"model_02","~name_electric.pole","~1","~1","-5256.15888609339","-3604.32998761334"
"model_03","~1","~name_electric.pole","~1","-6227.61176770708","-4417.7131181763"
"model_04","~1","~1","~name_electric.pole","-5150.30200631395","-1838.74072180131"
"model_05","~name_electric.pole","~name_electric.pole","~1","-7055.42105260627","-4597.43642376753"
"model_06","~name_electric.pole","~1","~name_electric.pole","-4213.48927999235","2085.59029937895"
"model_07","~1","~name_electric.pole","~name_electric.pole","-5799.08494214134","-1207.15867411785"
