"model_names","location.fun","scale.fun","shape.fun","AIC","BIC"
"model_01","~name_traffic.light","~name_traffic.light","~name_traffic.light","-16212.2071681953","-14604.3012652446"
"model_02","~name_traffic.light","~1","~1","-12776.0114291909","-12026.1360305054"
"model_03","~1","~name_traffic.light","~1","-11838.8498479495","-11125.0261511238"
"model_04","~1","~1","~name_traffic.light","-15243.3573744916","-14241.1200627869"
"model_05","~name_traffic.light","~name_traffic.light","~1","-11880.6897985402","-10892.8731675795"
"model_06","~name_traffic.light","~1","~name_traffic.light","-15765.5135579598","-14388.3385469124"
"model_07","~1","~name_traffic.light","~name_traffic.light","-15618.0057319728","-14327.3548053891"
