"model_names","location.fun","scale.fun","shape.fun","AIC","BIC"
"model_01","~name_house","~name_house","~name_house","-19655.4097994264","-14296.8452388069"
"model_02","~name_house","~1","~1","-7759.85052875789","-6187.0565058032"
"model_03","~1","~name_house","~1","-6450.345255499","-4877.55123254432"
"model_04","~1","~1","~name_house","-12086.3705245123","-9920.8149351174"
"model_05","~name_house","~name_house","~1","-16959.5608502081","-13979.946042902"
"model_06","~name_house","~1","~name_house","-18783.548349533","-14239.0430068248"
"model_07","~1","~name_house","~name_house","-22730.2436042591","-18470.2638134422"
