"model_names","location.fun","scale.fun","shape.fun","AIC","BIC"
"model_02","~name_electric.pole","~1","~1","-19926.0290109544","-18959.8434011096"
"model_03","~1","~name_electric.pole","~1","-22375.9556671151","-21301.6149516906"
"model_04","~1","~1","~name_electric.pole","-24284.0094638457","-22596.7898168033"
"model_05","~name_electric.pole","~name_electric.pole","~1","-22079.1167900389","-20269.3213566729"
"model_06","~name_electric.pole","~1","~name_electric.pole","-23278.2812557622","-21122.3894845413"
"model_07","~1","~name_electric.pole","~name_electric.pole","-24190.2554873184","-22250.6739272568"
