"model_names","location.fun","scale.fun","shape.fun","AIC","BIC"
"model_01","~name_tree","~name_tree","~name_tree","-5909.19381043012","-3392.78502061043"
"model_02","~name_tree","~1","~1","-2997.45432608823","-2031.26871624342"
"model_03","~1","~name_tree","~1","-2864.47486747983","-1681.97904647573"
"model_04","~1","~1","~name_tree","-6893.36496909565","-5494.55893693228"
"model_05","~name_tree","~name_tree","~1","-2357.70569198183","-850.744554238811"
"model_06","~name_tree","~1","~name_tree","-6092.44157898002","-4066.33593445471"
