"model_names","location.fun","scale.fun","shape.fun","AIC","BIC"
"model_01","~name_tree","~name_tree","~name_tree","6498.37975182323","9199.64917600392"
"model_02","~name_tree","~1","~1","4442.48479881358","5440.94828225"
"model_03","~1","~name_tree","~1","5778.28899593821","7202.4539645607"
"model_04","~1","~1","~name_tree","4434.62691406268","6207.09309783741"
"model_05","~name_tree","~name_tree","~1","7662.60230739321","9837.54989534386"
"model_06","~name_tree","~1","~name_tree","5069.12018594883","7011.86696379799"
"model_07","~1","~name_tree","~name_tree","6182.60464840644","8171.7915882759"
