"model_names","location.fun","scale.fun","shape.fun","AIC","BIC"
"model_01","~name_car","~name_car","~name_car","-58911.1820602015","-53054.6977837723"
"model_02","~name_car","~1","~1","-62621.9342626285","-60930.5879263858"
"model_03","~1","~name_car","~1","-57260.3466684282","-55766.5875209989"
"model_04","~1","~1","~name_car","-63501.8265552872","-60901.5791505028"
"model_05","~name_car","~name_car","~1","-61507.1857878092","-59381.147636177"
"model_06","~name_car","~1","~name_car","-66197.086899812","-61557.7397064733"
"model_07","~1","~name_car","~name_car","-62351.5287432703","-57380.235072725"
