timestamp;lateral_error;longitudinal_error;haversine_error
17207386;-0.588990211487;0.0639485791326;0.592065751553
17241310;-0.571319639683;0.0774575993419;0.576171994209
17274219;-0.566468954086;0.0831899270415;0.572172224522
17308103;-0.560415446758;0.0978627800941;0.568521559238
17343083;-0.591634631157;0.104330278933;0.600366652012
17374951;-0.56962287426;0.107793457806;0.579345703125
17408808;-0.582624852657;0.111067786813;0.592720329762
17440764;-0.529888868332;0.116564489901;0.542184829712
17474667;-0.549682319164;0.121877327561;0.562642633915
17508571;-0.526908993721;0.126127392054;0.541411221027
17608320;-0.490315884352;0.137202590704;0.508766651154
17641272;-0.467916160822;0.142040759325;0.48861721158
17675095;-0.485903024673;0.147939786315;0.507524907589
17709068;-0.44572865963;0.150044620037;0.469914168119
17776870;-0.404005140066;0.155865997076;0.432635515928
17876588;-0.331566512585;0.166740968823;0.370717465878
17942378;-0.324913322926;0.177790343761;0.369926631451
17976335;-0.299015641212;0.182238638401;0.349707007408
18042139;-0.22650142014;0.183501183987;0.291006922722
18076067;-0.233554288745;0.186279520392;0.298236787319
18109985;-0.196898803115;0.190076947212;0.273133814335
18175774;-0.135680049658;0.194527938962;0.236564263701
18243611;-0.137835741043;0.20039793849;0.242591768503
18275528;-0.110194116831;0.207822620869;0.234544664621
18308437;-0.13358092308;0.210768923163;0.248855337501
18376265;-0.0893829986453;0.217102587223;0.234042003751
18410181;-0.0727981775999;0.227634847164;0.238200321794
18475961;-0.0918342992663;0.226371824741;0.243511244655
18509947;-0.0851672142744;0.224106445909;0.238967046142
18543795;-0.0364656671882;0.226427987218;0.228539139032
18609651;-0.0420845858753;0.229050725698;0.232068747282
18643533;-0.0167870279402;0.230573639274;0.230360090733
18677429;-0.0128690637648;0.235081285238;0.234593585134
18743284;0.0295940674841;0.238774552941;0.239764750004
18775157;-0.0039142863825;0.239935979247;0.239112988114
18809115;0.000316798250424;0.241813316941;0.240953609347
18876965;0.0120578864589;0.238572001457;0.238034024835
18909797;0.0472640059888;0.239792123437;0.243583396077
18941787;0.0235394090414;0.241459518671;0.241759762168
18977617;0.0405257828534;0.238596111536;0.241192787886
19010592;0.0845530554652;0.238823354244;0.252570807934
