version_major,version_minor,status,timestamp,latitude,longitude,altitude,roll,pitch,heading,latitude_sigma,longitude_sigma,altitude_sigma,roll_sigma,pitch_sigma,heading_sigma,a_sigma,b_sigma,c_sigma,quality,number_of_satellites,hdop,vdop,hpl,vpl
4,2,1,11807282,48.766335996578,2.4647826884151,0,0,0,192.98442077637,0.059536963701248,0.058367792516947,0,0,0,0.45439681410789,0,0,0,6,8,0,0,0,0
4,2,1,11857502,48.766335538488,2.4647828133379,0,0,0,193.30241394043,0.054808836430311,0.054864160716534,0,0,0,0.48949149250984,0,0,0,6,8,0,0,0,0
4,2,1,11912655,48.766335050706,2.4647828932405,0,0,0,193.61581420898,0.05423378944397,0.056214656680822,0,0,0,0.47762411832809,0,0,0,6,8,0,0,0,0
4,2,1,11952815,48.766334591104,2.464783057236,0,0,0,193.87088012695,0.17908720672131,0.17905409634113,0,0,0,0.63465738296509,0,0,0,6,8,0,0,0,0
4,2,1,12007531,48.76633402596,2.4647831735094,0,0,0,194.26943969727,0.10711020976305,0.09697425365448,0,0,0,0.50163853168488,0,0,0,6,8,0,0,0,0
4,2,1,12052772,48.766333586665,2.4647832973616,0,0,0,194.63041687012,0.06174748763442,0.062780968844891,0,0,0,0.49987906217575,0,0,0,6,8,0,0,0,0
4,2,1,12107858,48.766332941587,2.464783519315,0,0,0,195.15942382812,0.06059492379427,0.063622310757637,0,0,0,0.5543720126152,0,0,0,6,8,0,0,0,0
4,2,1,12161943,48.766332367543,2.4647836778558,0,0,0,195.55488586426,0.13082566857338,0.12212079763412,0,0,0,0.53476339578629,0,0,0,6,8,0,0,0,0
4,2,1,12212362,48.766331848828,2.4647838635842,0,0,0,196.04733276367,0.072692602872849,0.074729830026627,0,0,0,0.52421408891678,0,0,0,6,8,0,0,0,0
4,2,1,12252809,48.766331372399,2.4647840471245,0,0,0,196.44313049316,0.066351667046547,0.069327220320702,0,0,0,0.53210097551346,0,0,0,6,8,0,0,0,0
4,2,1,12312107,48.76633066573,2.4647843355599,0,0,0,197.07472229004,0.13457480072975,0.14334098994732,0,0,0,0.57362520694733,0,0,0,6,8,0,0,0,0
4,2,1,12362452,48.766330084014,2.464784532084,0,0,0,197.63404846191,0.080727890133858,0.089041672646999,0,0,0,0.5291268825531,0,0,0,6,8,0,0,0,0
4,2,1,12403132,48.766329662294,2.4647847231161,0,0,0,198.07823181152,0.072844080626965,0.072988860309124,0,0,0,0.53018718957901,0,0,0,6,8,0,0,0,0
4,2,1,12457579,48.766328915545,2.4647850834128,0,0,0,198.73553466797,0.12241496890783,0.12026393413544,0,0,0,0.63579970598221,0,0,0,6,8,0,0,0,0
4,2,1,12512092,48.766328159896,2.4647854332864,0,0,0,199.32743835449,0.14912417531013,0.13779114186764,0,0,0,0.59236258268356,0,0,0,6,8,0,0,0,0
4,2,1,12561867,48.766327638138,2.4647857452491,0,0,0,199.91380310059,0.070647247135639,0.071346826851368,0,0,0,0.55331319570541,0,0,0,6,8,0,0,0,0
4,2,1,12611955,48.766326921033,2.4647861063801,0,0,0,200.55686950684,0.068290144205093,0.069207280874252,0,0,0,0.56513345241547,0,0,0,6,8,0,0,0,0
4,2,1,12662495,48.76632623798,2.4647865863149,0,0,0,201.13833618164,0.18678277730942,0.18855550885201,0,0,0,0.7403364777565,0,0,0,6,8,0,0,0,0
4,2,1,12707430,48.766325649068,2.4647869504879,0,0,0,201.67819213867,0.099433273077011,0.11892341822386,0,0,0,0.57840949296951,0,0,0,6,8,0,0,0,0
4,2,1,12757480,48.766324900446,2.4647873794727,0,0,0,202.33651733398,0.079537957906723,0.086290679872036,0,0,0,0.59715580940247,0,0,0,6,8,0,0,0,0
