version_major,version_minor,status,timestamp,latitude,longitude,altitude,roll,pitch,heading,latitude_sigma,longitude_sigma,altitude_sigma,roll_sigma,pitch_sigma,heading_sigma,a_sigma,b_sigma,c_sigma,quality,number_of_satellites,hdop,vdop,hpl,vpl
4,2,1,11807282,48.766256019058,2.4648361100258,0,0,0,191.4047088623,7.0829100608826,7.0971789360046,0,0,0,97.556953430176,0,0,0,1,8,1,0,0,0
4,2,1,11857502,48.7662560027,2.4648364143839,0,0,0,190.1229095459,5.1463208198547,5.1480469703674,0,0,0,18.564256668091,0,0,0,1,8,1,0,0,0
4,2,1,11912655,48.766255428648,2.4648365714938,0,0,0,190.48402404785,5.1503367424011,5.1521801948547,0,0,0,36.82727432251,0,0,0,1,8,1,0,0,0
4,2,1,11952815,48.766254998705,2.4648366929352,0,0,0,190.76983642578,5.1533527374268,5.1554589271545,0,0,0,46.041370391846,0,0,0,1,8,1,0,0,0
4,2,1,12007531,48.766254382096,2.4648368729766,0,0,0,191.18957519531,5.1574010848999,5.1603560447693,0,0,0,56.126667022705,0,0,0,1,8,1,0,0,0
4,2,1,12052772,48.766253858826,2.4648370313098,0,0,0,191.5584564209,5.1604781150818,5.1647682189941,0,0,0,62.772636413574,0,0,0,1,8,1,0,0,0
4,2,1,12107858,48.766253202883,2.4648372374444,0,0,0,192.03433227539,5.164614200592,5.1716165542603,0,0,0,70.632621765137,0,0,0,1,8,1,0,0,0
4,2,1,12161943,48.766252535178,2.4648374560452,0,0,0,192.51434326172,5.1688284873962,5.1800675392151,0,0,0,77.709732055664,0,0,0,1,8,1,0,0,0
4,2,1,12212362,48.76625189404,2.4648376745271,0,0,0,193.00033569336,5.1731238365173,5.1901292800903,0,0,0,84.206314086914,0,0,0,1,8,1,0,0,0
4,2,1,12252809,48.766251371587,2.464837858883,0,0,0,193.39706420898,5.1764607429504,5.1995849609375,0,0,0,88.826042175293,0,0,0,1,8,1,0,0,0
4,2,1,12312107,48.766250607181,2.4648381389831,0,0,0,193.98292541504,5.1811447143555,5.2158117294312,0,0,0,94.733436584473,0,0,0,1,8,1,0,0,0
4,2,1,12362452,48.766249914667,2.4648384037559,0,0,0,194.53343200684,5.1859750747681,5.2340250015259,0,0,0,100.2364654541,0,0,0,1,8,1,0,0,0
4,2,1,12403132,48.76624935635,2.4648386250665,0,0,0,194.99028015137,5.1898422241211,5.2509121894836,0,0,0,104.24277496338,0,0,0,1,8,1,0,0,0
4,2,1,12457579,48.766248580766,2.4648389442269,0,0,0,195.60171508789,5.1953892707825,5.2781195640564,0,0,0,109.35955047607,0,0,0,1,8,1,0,0,0
4,2,1,12512092,48.766247788198,2.4648392841571,0,0,0,196.21389770508,5.2014532089233,5.3109068870544,0,0,0,114.24863433838,0,0,0,1,8,1,0,0,0
4,2,1,12561867,48.766247053923,2.4648396115776,0,0,0,196.7728729248,5.207869052887,5.3464860916138,0,0,0,118.86296844482,0,0,0,1,8,1,0,0,0
4,2,1,12611955,48.766246302467,2.464839958715,0,0,0,197.33535766602,5.2149443626404,5.3880414962769,0,0,0,123.30979919434,0,0,0,1,8,1,0,0,0
4,2,1,12662495,48.766245535521,2.4648403255994,0,0,0,197.90292358398,5.2228116989136,5.436137676239,0,0,0,127.60799407959,0,0,0,1,8,1,0,0,0
4,2,1,12707430,48.766244846203,2.4648406658352,0,0,0,198.40754699707,5.2300243377686,5.4840188026428,0,0,0,130.83842468262,0,0,0,1,8,1,0,0,0
4,2,1,12757480,48.766244081003,2.4648410565705,0,0,0,199.06719970703,5.2395844459534,5.5437378883362,0,0,0,135.01026916504,0,0,0,1,8,1,0,0,0
4,2,1,12806837,48.766243313539,2.4648414634266,0,0,0,199.71772766113,5.2502784729004,5.6101379394531,0,0,0,139.04577636719,0,0,0,1,8,1,0,0,0
4,2,1,12862463,48.76624439748,2.4648411605063,0,0,0,194.7746887207,4.4103817939758,4.4744067192078,0,0,0,19.728302001953,0,0,0,1,8,1,0,0,0
4,2,1,12912591,48.766243556075,2.4648415020532,0,0,0,195.43537902832,4.415180683136,4.4796571731567,0,0,0,38.712181091309,0,0,0,1,8,1,0,0,0
4,2,1,12962237,48.766242715273,2.4648418590603,0,0,0,196.0897064209,4.4200396537781,4.4857068061829,0,0,0,51.048988342285,0,0,0,1,8,1,0,0,0
4,2,1,13011956,48.766241862195,2.4648422375872,0,0,0,196.78378295898,4.425030708313,4.4932432174683,0,0,0,61.046669006348,0,0,0,1,8,1,0,0,0
4,2,1,13057403,48.766241080538,2.4648425989764,0,0,0,197.41822814941,4.4290337562561,4.5012755393982,0,0,0,67.863746643066,0,0,0,1,8,1,0,0,0
4,2,1,13114130,48.766240108681,2.4648430684875,0,0,0,198.21012878418,4.4346632957458,4.5147733688354,0,0,0,75.890083312988,0,0,0,1,8,1,0,0,0
4,2,1,13157271,48.766239372515,2.4648434391672,0,0,0,198.81237792969,4.4392371177673,4.5278306007385,0,0,0,81.406959533691,0,0,0,1,8,1,0,0,0
4,2,1,13203333,48.766238571938,2.4648438574542,0,0,0,199.45541381836,4.4454770088196,4.5461378097534,0,0,0,87.923851013184,0,0,0,1,8,1,0,0,0
4,2,1,13252372,48.766237707061,2.4648443261391,0,0,0,200.13999938965,4.4524946212769,4.5699968338013,0,0,0,94.06420135498,0,0,0,1,8,1,0,0,0
4,2,1,13306907,48.766236749627,2.4648448654546,0,0,0,200.90130615234,4.4607467651367,4.6020259857178,0,0,0,99.95597076416,0,0,0,1,8,1,0,0,0
4,2,1,13361804,48.766235790704,2.4648454277273,0,0,0,201.66766357422,4.4702596664429,4.6412334442139,0,0,0,105.52723693848,0,0,0,1,8,1,0,0,0
4,2,1,13412800,48.766234904482,2.4648459675067,0,0,0,202.37956237793,4.4807472229004,4.6847410202026,0,0,0,110.73690032959,0,0,0,1,8,1,0,0,0
4,2,1,13462539,48.766234044461,2.4648465100567,0,0,0,203.07392883301,4.4925394058228,4.7339553833008,0,0,0,115.68625640869,0,0,0,1,8,1,0,0,0
4,2,1,13513756,48.766233163461,2.4648470850523,0,0,0,203.78890991211,4.5062866210938,4.7917366027832,0,0,0,120.46240234375,0,0,0,1,8,1,0,0,0
4,2,1,13557218,48.766232419581,2.4648475858401,0,0,0,204.3956451416,4.5190901756287,4.8463263511658,0,0,0,124.01829528809,0,0,0,1,8,1,0,0,0
4,2,1,13608454,48.766231547102,2.4648481911314,0,0,0,205.0171661377,4.5367836952209,4.9183440208435,0,0,0,128.36206054688,0,0,0,1,8,1,0,0,0
4,2,1,13652575,48.766230746768,2.4648487606758,0,0,0,205.53073120117,4.5544972419739,4.9910550117493,0,0,0,131.58529663086,0,0,0,1,8,1,0,0,0
4,2,1,13712350,48.766229632432,2.4648495758005,0,0,0,206.22650146484,4.5840005874634,5.1050043106079,0,0,0,136.59594726562,0,0,0,1,8,1,0,0,0
4,2,1,13752022,48.766228896463,2.4648501279321,0,0,0,206.68829345703,4.605929851532,5.1876759529114,0,0,0,139.56817626953,0,0,0,1,8,1,0,0,0
4,2,1,13806719,48.766227886365,2.4648509030536,0,0,0,207.21006774902,4.6398596763611,5.311110496521,0,0,0,143.32804870605,0,0,0,1,8,1,0,0,0
4,2,1,13863556,48.766229345287,2.4648499745285,0,0,0,203.5855255127,4.0296764373779,4.2065577507019,0,0,0,9.9750690460205,0,0,0,1,8,1,0,0,0
4,2,1,13907377,48.76622848141,2.4648505485436,0,0,0,203.94801330566,4.0337882041931,4.2109980583191,0,0,0,29.793460845947,0,0,0,1,8,1,0,0,0
4,2,1,13963195,48.766227362475,2.464851305757,0,0,0,204.35548400879,4.0394277572632,4.2177166938782,0,0,0,43.750545501709,0,0,0,1,8,1,0,0,0
4,2,1,14003401,48.766226541657,2.4648518703825,0,0,0,204.64898681641,4.0439047813416,4.2239246368408,0,0,0,51.769420623779,0,0,0,1,8,1,0,0,0
4,2,1,14052461,48.766225533333,2.4648525746206,0,0,0,205.00712585449,4.0502681732178,4.2340402603149,0,0,0,60.752010345459,0,0,0,1,8,1,0,0,0
4,2,1,14113163,48.766224267013,2.4648534749733,0,0,0,205.45025634766,4.0580673217773,4.2501006126404,0,0,0,68.765266418457,0,0,0,1,8,1,0,0,0
4,2,1,14151676,48.766223453716,2.4648540629362,0,0,0,205.73139953613,4.0644226074219,4.2642464637756,0,0,0,74.099143981934,0,0,0,1,8,1,0,0,0
4,2,1,14202795,48.766222365449,2.4648548582398,0,0,0,205.87606811523,4.0741381645203,4.2880291938782,0,0,0,80.216079711914,0,0,0,1,8,1,0,0,0
4,2,1,14262979,48.766221064381,2.4648558154669,0,0,0,206.01847839355,4.0881814956665,4.3251895904541,0,0,0,87.19384765625,0,0,0,1,8,1,0,0,0
4,2,1,14308170,48.766220078671,2.4648565444796,0,0,0,206.11518859863,4.1009035110474,4.3605842590332,0,0,0,92.368934631348,0,0,0,1,8,1,0,0,0
4,2,1,14357067,48.766219003657,2.4648573430533,0,0,0,206.21981811523,4.1163830757141,4.4064259529114,0,0,0,97.28150177002,0,0,0,1,8,1,0,0,0
4,2,1,14407259,48.766217897276,2.4648581686767,0,0,0,206.32171630859,4.134663105011,4.4625339508057,0,0,0,101.95355224609,0,0,0,1,8,1,0,0,0
4,2,1,14457182,48.766216767623,2.4648590154467,0,0,0,206.42304992676,4.156093120575,4.5298414230347,0,0,0,106.41988372803,0,0,0,1,8,1,0,0,0
4,2,1,14511971,48.766215504194,2.4648599661133,0,0,0,206.46195983887,4.1832160949707,4.6173286437988,0,0,0,110.62060546875,0,0,0,1,8,1,0,0,0
4,2,1,14561534,48.766214344648,2.4648608389459,0,0,0,206.43081665039,4.2121315002441,4.7101998329163,0,0,0,114.65730285645,0,0,0,1,8,1,0,0,0
4,2,1,14613373,48.766213115602,2.4648617621619,0,0,0,206.36207580566,4.2464323043823,4.8214392662048,0,0,0,118.60456848145,0,0,0,1,8,1,0,0,0
4,2,1,14652993,48.766212167554,2.4648624722409,0,0,0,206.29801940918,4.2756357192993,4.9164156913757,0,0,0,121.49649810791,0,0,0,1,8,1,0,0,0
4,2,1,14707357,48.76621084538,2.4648634590783,0,0,0,206.19430541992,4.3203992843628,5.0621776580811,0,0,0,125.27087402344,0,0,0,1,8,1,0,0,0
4,2,1,14757798,48.766209597565,2.4648643857653,0,0,0,206.0633392334,4.3675079345703,5.2142958641052,0,0,0,128.96714782715,0,0,0,1,8,1,0,0,0
4,2,1,14801982,48.766208488709,2.4648652045111,0,0,0,205.9044342041,4.4124999046326,5.3604702949524,0,0,0,131.74240112305,0,0,0,1,8,1,0,0,0
4,2,1,14862604,48.766210584602,2.4648682274552,0,0,0,214.8882598877,3.8497569561005,4.1612391471863,0,0,0,18.503530502319,0,0,0,1,8,1,0,0,0
4,2,1,14911989,48.766209424254,2.4648694462986,0,0,0,214.57038879395,3.8559272289276,4.16779088974,0,0,0,36.611457824707,0,0,0,1,8,1,0,0,0
4,2,1,14951524,48.766208487158,2.4648704195107,0,0,0,214.26649475098,3.8611266613007,4.1738295555115,0,0,0,45.931369781494,0,0,0,1,8,1,0,0,0
4,2,1,15016399,48.76620692589,2.464872016115,0,0,0,213.73857116699,3.8716008663177,4.1876039505005,0,0,0,58.298904418945,0,0,0,1,8,1,0,0,0
4,2,1,15058062,48.766205917184,2.4648730307847,0,0,0,213.38664245605,3.8797590732574,4.1998105049133,0,0,0,64.680404663086,0,0,0,1,8,1,0,0,0
4,2,1,15113586,48.766204566462,2.4648743682884,0,0,0,212.90238952637,3.8932971954346,4.2219557762146,0,0,0,72.351737976074,0,0,0,1,8,1,0,0,0
4,2,1,15162248,48.766203376324,2.4648755256951,0,0,0,212.45100402832,3.9087359905243,4.2487025260925,0,0,0,79.217628479004,0,0,0,1,8,1,0,0,0
4,2,1,15201882,48.766202402549,2.4648764578556,0,0,0,212.05378723145,3.9233169555664,4.2757563591003,0,0,0,84.112869262695,0,0,0,1,8,1,0,0,0
4,2,1,15262176,48.766200912717,2.4648778554822,0,0,0,211.36946105957,3.949239730835,4.3274130821228,0,0,0,90.510063171387,0,0,0,1,8,1,0,0,0
4,2,1,15307305,48.766199790209,2.4648788833309,0,0,0,210.79730224609,3.9723842144012,4.3759632110596,0,0,0,95.12979888916,0,0,0,1,8,1,0,0,0
4,2,1,15357601,48.766198530711,2.4648800074172,0,0,0,210.10148620605,4.0029149055481,4.4419584274292,0,0,0,100.8505859375,0,0,0,1,8,1,0,0,0
4,2,1,15407359,48.766197275796,2.4648810963668,0,0,0,209.39248657227,4.0373778343201,4.5200171470642,0,0,0,106.28512573242,0,0,0,1,8,1,0,0,0
4,2,1,15457275,48.766196007979,2.4648821649105,0,0,0,208.67219543457,4.0762186050415,4.6121182441711,0,0,0,111.47131347656,0,0,0,1,8,1,0,0,0
4,2,1,15512995,48.766194582151,2.4648833284555,0,0,0,207.84741210938,4.1252932548523,4.733006477356,0,0,0,117.52471160889,0,0,0,1,8,1,0,0,0
4,2,1,15552335,48.766193568946,2.464884131394,0,0,0,207.2456817627,4.1625070571899,4.8295364379883,0,0,0,121.16013336182,0,0,0,1,8,1,0,0,0
4,2,1,15613198,48.766191990383,2.4648853411917,0,0,0,206.28453063965,4.2255129814148,4.9992370605469,0,0,0,126.93370819092,0,0,0,1,8,1,0,0,0
4,2,1,15662015,48.766190714545,2.4648862820307,0,0,0,205.48957824707,4.2801833152771,5.1534085273743,0,0,0,131.4029083252,0,0,0,1,8,1,0,0,0
4,2,1,15712847,48.766189377056,2.46488723331,0,0,0,204.65455627441,4.3405742645264,5.3312654495239,0,0,0,135.77719116211,0,0,0,1,8,1,0,0,0
4,2,1,15757852,48.766188185197,2.4648880503417,0,0,0,203.91471862793,4.3973727226257,5.5041742324829,0,0,0,139.89744567871,0,0,0,1,8,1,0,0,0
4,2,1,15812749,48.766186722344,2.4648890162437,0,0,0,203.0200958252,4.468957901001,5.733323097229,0,0,0,144.08390808105,0,0,0,1,8,1,0,0,0
4,2,1,15852753,48.766185650144,2.4648896982197,0,0,0,202.36521911621,4.5232119560242,5.9134483337402,0,0,0,147.12680053711,0,0,0,1,8,1,0,0,0
4,2,1,15914675,48.766183980621,2.4648907175671,0,0,0,201.32922363281,4.6093029975891,6.2130265235901,0,0,0,151.27488708496,0,0,0,1,8,1,0,0,0
4,2,1,15957007,48.766182832223,2.4648913874154,0,0,0,200.59623718262,4.6699318885803,6.4326357841492,0,0,0,154.26261901855,0,0,0,1,8,1,0,0,0
4,2,1,16012626,48.766181314661,2.464892232502,0,0,0,199.62466430664,4.7518854141235,6.7395420074463,0,0,0,158.84794616699,0,0,0,1,8,1,0,0,0
4,2,1,16062313,48.766179951219,2.4648929548986,0,0,0,198.75804138184,4.8253960609436,7.0298323631287,0,0,0,162.51780700684,0,0,0,1,8,1,0,0,0
4,2,1,16112194,48.766178575373,2.464893648788,0,0,0,197.904296875,4.8994770050049,7.3365135192871,0,0,0,166.09313964844,0,0,0,1,8,1,0,0,0
4,2,1,16163718,48.766176834478,2.464894483493,0,0,0,197.04866027832,4.9921221733093,7.7427639961243,0,0,0,169.59567260742,0,0,0,1,8,1,0,0,0
4,2,1,16212790,48.766175168954,2.4648952418785,0,0,0,196.26049804688,5.0808010101318,8.1500635147095,0,0,0,172.96032714844,0,0,0,1,8,1,0,0,0
4,2,1,16261974,48.766173492959,2.4648959676398,0,0,0,195.49644470215,5.1695246696472,8.5769824981689,0,0,0,176.23677062988,0,0,0,1,8,1,0,0,0
4,2,1,16312319,48.76617893006,2.4649062027643,0,0,0,217.80458068848,4.012948513031,4.9563264846802,0,0,0,25.804075241089,0,0,0,1,8,1,0,0,0
4,2,1,16351838,48.766177820438,2.4649074959575,0,0,0,217.22518920898,4.0179352760315,4.9614181518555,0,0,0,39.064025878906,0,0,0,1,8,1,0,0,0
4,2,1,16407755,48.766176178717,2.4649093622236,0,0,0,216.42486572266,4.0265016555786,4.971034526825,0,0,0,51.792343139648,0,0,0,1,8,1,0,0,0
4,2,1,16461476,48.766174567551,2.4649111422955,0,0,0,215.67349243164,4.0382237434387,4.9855237007141,0,0,0,61.824249267578,0,0,0,1,8,1,0,0,0
4,2,1,16507387,48.766173164566,2.4649126526771,0,0,0,215.05270385742,4.0525879859924,5.0044493675232,0,0,0,70.129661560059,0,0,0,1,8,1,0,0,0
4,2,1,16552376,48.766171767189,2.4649141237006,0,0,0,214.46559143066,4.0709147453308,5.0302748680115,0,0,0,77.480072021484,0,0,0,1,8,1,0,0,0
4,2,1,16612390,48.766169873558,2.4649160690145,0,0,0,213.71229553223,4.1013932228088,5.0774211883545,0,0,0,84.518333435059,0,0,0,1,8,1,0,0,0
4,2,1,16656905,48.766168448621,2.4649174973391,0,0,0,213.1669921875,4.1303420066833,5.1246128082275,0,0,0,89.397598266602,0,0,0,1,8,1,0,0,0
4,2,1,16711835,48.766166665776,2.4649192433478,0,0,0,212.50180053711,4.174533367157,5.1997418403625,0,0,0,95.408592224121,0,0,0,1,8,1,0,0,0
4,2,1,16756831,48.766165177899,2.4649206661431,0,0,0,211.9568939209,4.2189569473267,5.2778034210205,0,0,0,100.86566925049,0,0,0,1,8,1,0,0,0
4,2,1,16807211,48.766163497548,2.4649222390444,0,0,0,211.39868164062,4.2762079238892,5.3829593658447,0,0,0,106.06285095215,0,0,0,1,8,1,0,0,0
4,2,1,16866450,48.766162838147,2.4649220636029,0,0,0,206.81130981445,3.8448710441589,4.619375705719,0,0,0,25.216945648193,0,0,0,1,8,1,0,0,0
4,2,1,16908124,48.766161343202,2.4649231991556,0,0,0,206.37278747559,3.8499064445496,4.6248512268066,0,0,0,38.067642211914,0,0,0,1,8,1,0,0,0
4,2,1,16963454,48.766159344019,2.4649246850028,0,0,0,205.81924438477,3.8577744960785,4.6361985206604,0,0,0,50.229789733887,0,0,0,1,8,1,0,0,0
4,2,1,17007504,48.76615773525,2.4649258550173,0,0,0,205.39561462402,3.865314245224,4.6505551338196,0,0,0,57.715953826904,0,0,0,1,8,1,0,0,0
4,2,1,17057545,48.766155880237,2.4649271765632,0,0,0,204.92073059082,3.8768780231476,4.6760449409485,0,0,0,66.176734924316,0,0,0,1,8,1,0,0,0
4,2,1,17106919,48.766154032153,2.4649284651321,0,0,0,204.45216369629,3.8912773132324,4.7129464149475,0,0,0,73.658126831055,0,0,0,1,8,1,0,0,0
4,2,1,17161760,48.766151954649,2.4649298813615,0,0,0,203.93171691895,3.9108271598816,4.7706875801086,0,0,0,80.551849365234,0,0,0,1,8,1,0,0,0
4,2,1,17212644,48.766150011837,2.4649311746467,0,0,0,203.44883728027,3.9336848258972,4.8435807228088,0,0,0,86.829956054688,0,0,0,1,8,1,0,0,0
4,2,1,17253142,48.766148445791,2.4649321959575,0,0,0,203.06451416016,3.9550528526306,4.9167609214783,0,0,0,91.295074462891,0,0,0,1,8,1,0,0,0
4,2,1,17303061,48.766146499825,2.4649334387104,0,0,0,202.59077453613,3.9861488342285,5.0276746749878,0,0,0,96.864105224609,0,0,0,1,8,1,0,0,0
4,2,1,17357111,48.766144365341,2.4649347695201,0,0,0,202.07783508301,4.025333404541,5.1756615638733,0,0,0,102.19209289551,0,0,0,1,8,1,0,0,0
4,2,1,17407309,48.766142375941,2.4649359793522,0,0,0,201.60145568848,4.0675029754639,5.3400554656982,0,0,0,107.20069122314,0,0,0,1,8,1,0,0,0
4,2,1,17457339,48.766140386651,2.464937160201,0,0,0,201.1266784668,4.1148085594177,5.5303235054016,0,0,0,111.98329925537,0,0,0,1,8,1,0,0,0
4,2,1,17512136,48.766138200552,2.4649384251904,0,0,0,200.60665893555,4.1721539497375,5.7689609527588,0,0,0,116.6326675415,0,0,0,1,8,1,0,0,0
4,2,1,17558551,48.766136343451,2.4649394751068,0,0,0,200.30078125,4.2263236045837,5.996413230896,0,0,0,120.81932830811,0,0,0,1,8,1,0,0,0
4,2,1,17612758,48.766134170026,2.4649406826617,0,0,0,199.94355773926,4.294677734375,6.2897434234619,0,0,0,124.93087768555,0,0,0,1,8,1,0,0,0
4,2,1,17662247,48.766132181426,2.4649417670653,0,0,0,199.62763977051,4.3628883361816,6.5836572647095,0,0,0,128.86061096191,0,0,0,1,8,1,0,0,0
4,2,1,17708196,48.766130331614,2.4649427592647,0,0,0,199.34748840332,4.4310817718506,6.8780732154846,0,0,0,132.63163757324,0,0,0,1,8,1,0,0,0
4,2,1,17753380,48.766128509624,2.4649437221593,0,0,0,199.0772857666,4.5013055801392,7.1862092018127,0,0,0,135.46087646484,0,0,0,1,8,1,0,0,0
4,2,1,17812123,48.766126136415,2.4649449544788,0,0,0,198.72601318359,4.5986685752869,7.6140718460083,0,0,0,139.13346862793,0,0,0,1,8,1,0,0,0
4,2,1,17851777,48.766125747385,2.4649409682356,0,0,0,192.23199462891,3.8619379997253,5.0237879753113,0,0,0,18.721267700195,0,0,0,1,8,1,0,0,0
4,2,1,17902355,48.766123635158,2.464941654365,0,0,0,191.9295501709,3.8680708408356,5.0317301750183,0,0,0,36.654705047607,0,0,0,1,8,1,0,0,0
4,2,1,17962824,48.766121106753,2.4649424524244,0,0,0,191.56793212891,3.8759801387787,5.0470395088196,0,0,0,50.791202545166,0,0,0,1,8,1,0,0,0
4,2,1,18013068,48.7661190034,2.4649430972488,0,0,0,191.26748657227,3.8827977180481,5.0682826042175,0,0,0,59.768028259277,0,0,0,1,8,1,0,0,0
4,2,1,18062761,48.766116920941,2.464943718554,0,0,0,190.97032165527,3.8901278972626,5.1003003120422,0,0,0,67.554748535156,0,0,0,1,8,1,0,0,0
4,2,1,18097248,48.766115474457,2.464944140011,0,0,0,190.7640838623,3.8958697319031,5.1307415962219,0,0,0,72.814582824707,0,0,0,1,8,1,0,0,0
4,2,1,18158580,48.766112899688,2.4649448709878,0,0,0,190.3973236084,3.9052319526672,5.2030439376831,0,0,0,79.470527648926,0,0,0,1,8,1,0,0,0
4,2,1,18207387,48.766110541853,2.4649455182876,0,0,0,190.10545349121,3.9152672290802,5.294340133667,0,0,0,85.471343994141,0,0,0,1,8,1,0,0,0
4,2,1,18258434,48.76610799895,2.4649461959913,0,0,0,189.80018615723,3.9268844127655,5.4220590591431,0,0,0,91.100532531738,0,0,0,1,8,1,0,0,0
4,2,1,18313155,48.766105270397,2.4649468995055,0,0,0,189.45011901855,3.9404046535492,5.595410823822,0,0,0,96.475204467773,0,0,0,1,8,1,0,0,0
4,2,1,18358814,48.766102991477,2.4649474664212,0,0,0,189.15151977539,3.9536385536194,5.7709383964539,0,0,0,101.48551940918,0,0,0,1,8,1,0,0,0
4,2,1,18407747,48.766100547029,2.4649480541732,0,0,0,188.82725524902,3.9685842990875,5.9902925491333,0,0,0,106.29808044434,0,0,0,1,8,1,0,0,0
