"model_names","location.fun","scale.fun","shape.fun","AIC","BIC"
"model_01","~name_car","~name_car","~name_car","75630.5872906137","79329.4194652006"
"model_02","~name_car","~1","~1","74037.7518466232","75294.4063674764"
"model_03","~1","~name_car","~1","72233.4159163697","73450.5529994603"
"model_04","~1","~1","~name_car","71394.7402270616","72532.8424346268"
"model_05","~name_car","~name_car","~1","75592.427209281","77813.3072115437"
"model_06","~name_car","~1","~name_car","74505.0629863009","76346.5755860418"
"model_07","~1","~name_car","~name_car","72320.5591913358","74019.809015131"
