"model_names","location.fun","scale.fun","shape.fun","AIC","BIC"
"model_01","~name_truck","~name_truck","~name_truck","-13752.4853250597","-5793.67335965581"
"model_02","~name_truck","~1","~1","-20545.1496692063","-19209.4602728277"
"model_03","~1","~name_truck","~1","-20283.3121860661","-18868.5879141621"
"model_04","~1","~1","~name_truck","-18655.8070305199","-16332.1816900743"
"model_05","~name_truck","~name_truck","~1","-19996.8041285926","-16874.9265453409"
"model_06","~name_truck","~1","~name_truck","-17329.1917351585","-11030.1121557872"
"model_07","~1","~name_truck","~name_truck","-14945.2300830302","-12155.298976985"
