"model_names","location.fun","scale.fun","shape.fun","AIC","BIC","variable"
"model_01","~name_house..group.","~name_house..group.","~name_house..group.",-23709.6826876514,-21006.689944684,"name_house..group."
"model_02","~name_house..group.","~1","~1",-27656.9012779541,-26360.7293193382,"name_house..group."
"model_03","~1","~name_house..group.","~1",-26256.5226469252,-24802.2809372585,"name_house..group."
"model_04","~1","~1","~name_house..group.",-31262.3210457648,-29966.1490871488,"name_house..group."
"model_05","~name_house..group.","~name_house..group.","~1",-24785.952466037,-23134.1235675569,"name_house..group."
"model_06","~name_house..group.","~1","~name_house..group.",-30255.6577216186,-28271.882345932,"name_house..group."
"model_07","~1","~name_house..group.","~name_house..group.",-31494.7401230444,-29795.4902992492,"name_house..group."
"model_01","~name_person","~name_person","~name_person",-35700.521794988,-31503.7699045913,"name_person"
"model_02","~name_person","~1","~1",-27943.5598800557,-26528.8356081518,"name_person"
"model_03","~1","~name_person","~1",-23664.2026100441,-22288.9957759028,"name_person"
"model_04","~1","~1","~name_person",-35616.7587121918,-33846.3775004237,"name_person"
"model_05","~name_person","~name_person","~1",-23438.7009667604,-21834.2929935956,"name_person"
"model_06","~name_person","~1","~name_person",-36632.4984469559,-33605.4627143346,"name_person"
"model_07","~1","~name_person","~name_person",-33528.7899862967,-30975.9635068275,"name_person"
"model_02","~name_special.building","~1","~1",-23843.8688698429,-22429.144597939,"name_special.building"
"model_03","~1","~name_special.building","~1",-30429.0464353382,-29053.8396011969,"name_special.building"
"model_04","~1","~1","~name_special.building",-29183.4776605607,-28005.8580152328,"name_special.building"
"model_05","~name_special.building","~name_special.building","~1",-27963.8298884195,-26217.159139309,"name_special.building"
"model_01","~name_street.light","~name_street.light","~name_street.light",-32388.9278529905,-25757.9017964127,"name_street.light"
"model_02","~name_street.light","~1","~1",-25856.5054101156,-24402.2637004489,"name_street.light"
"model_03","~1","~name_street.light","~1",-23696.0383564153,-22123.2443334606,"name_street.light"
"model_04","~1","~1","~name_street.light",-30299.8270370034,-28489.9283874726,"name_street.light"
"model_05","~name_street.light","~name_street.light","~1",-32322.5683515265,-29817.1627973726,"name_street.light"
"model_06","~name_street.light","~1","~name_street.light",-32806.0369995696,-29399.6338644265,"name_street.light"
"model_07","~1","~name_street.light","~name_street.light",-33081.128316113,-30670.5646125894,"name_street.light"
"model_01","~name_tenement","~name_tenement","~name_tenement",-28949.0016445588,-25692.764772914,"name_tenement"
"model_02","~name_tenement","~1","~1",-33583.2981313338,-31536.294855227,"name_tenement"
"model_03","~1","~name_tenement","~1",-27737.8331399848,-26323.1088680809,"name_tenement"
"model_04","~1","~1","~name_tenement",-28034.9018618523,-26580.6601521857,"name_tenement"
"model_05","~name_tenement","~name_tenement","~1",-28069.7251024648,-25896.2660255174,"name_tenement"
"model_06","~name_tenement","~1","~name_tenement",-26318.6056533795,-24334.830277693,"name_tenement"
"model_07","~1","~name_tenement","~name_tenement",-27077.7486439195,-25331.077894809,"name_tenement"
"model_01","~name_traffic.light","~name_traffic.light","~name_traffic.light",-27203.8182428546,-23394.3372425322,"name_traffic.light"
"model_02","~name_traffic.light","~1","~1",-23317.372073172,-21942.1652390308,"name_traffic.light"
"model_03","~1","~name_traffic.light","~1",-27456.6223347103,-25646.7236851795,"name_traffic.light"
"model_04","~1","~1","~name_traffic.light",-27801.9073430041,-26150.0784445241,"name_traffic.light"
"model_05","~name_traffic.light","~name_traffic.light","~1",-29692.6098447538,-27803.6763196976,"name_traffic.light"
"model_06","~name_traffic.light","~1","~name_traffic.light",-23820.1277788747,-20650.8292703077,"name_traffic.light"
"model_07","~1","~name_traffic.light","~name_traffic.light",-32287.0197376229,-30018.7188100451,"name_traffic.light"
"model_01","~name_traffic.sign","~name_traffic.sign","~name_traffic.sign",-31998.2804748745,-28963.3412547006,"name_traffic.sign"
"model_02","~name_traffic.sign","~1","~1",-27757.7433714636,-26145.4319107462,"name_traffic.sign"
"model_03","~1","~name_traffic.sign","~1",-33262.500308776,-31215.4970326691,"name_traffic.sign"
"model_04","~1","~1","~name_traffic.sign",-32309.7029294632,-30381.2519666444,"name_traffic.sign"
"model_05","~name_traffic.sign","~name_traffic.sign","~1",-33939.2268255982,-31338.9794208138,"name_traffic.sign"
"model_06","~name_traffic.sign","~1","~name_traffic.sign",-37467.1562280163,-34487.5414207102,"name_traffic.sign"
"model_07","~1","~name_traffic.sign","~name_traffic.sign",-31084.7480303914,-28010.2913724548,"name_traffic.sign"
"model_01","~name_tree","~name_tree","~name_tree",-31315.2342038766,-28114.3217450995,"name_tree"
"model_02","~name_tree","~1","~1",-23815.8336806456,-22203.5222199282,"name_tree"
"model_03","~1","~name_tree","~1",-23646.9461740563,-22311.2567776777,"name_tree"
"model_04","~1","~1","~name_tree",-30283.1364875917,-28591.7901513489,"name_tree"
"model_05","~name_tree","~name_tree","~1",-24018.2557892419,-21797.3757869792,"name_tree"
"model_06","~name_tree","~1","~name_tree",-33949.0900663294,-31254.0008109146,"name_tree"
"model_07","~1","~name_tree","~name_tree",-29820.3713422728,-27362.386713434,"name_tree"
"model_01","~name_tree..group.","~name_tree..group.","~name_tree..group.",-30405.9888602021,-27537.0228786315,"name_tree..group."
"model_02","~name_tree..group.","~1","~1",-29296.8965251701,-27645.0676266901,"name_tree..group."
"model_03","~1","~name_tree..group.","~1",-24585.9402463564,-23013.1462234018,"name_tree..group."
"model_04","~1","~1","~name_tree..group.",-36627.4890696534,-34857.1078578853,"name_tree..group."
"model_05","~name_tree..group.","~name_tree..group.","~1",-26765.3075128442,-24686.6902865272,"name_tree..group."
"model_06","~name_tree..group.","~1","~name_tree..group.",-33907.1328131912,-31543.9900349829,"name_tree..group."
"model_07","~1","~name_tree..group.","~name_tree..group.",-33798.1184075013,-32004.0267330756,"name_tree..group."
"model_02","~name_truck","~1","~1",-29284.484595599,-27869.760323695,"name_truck"
"model_03","~1","~name_truck","~1",-29700.0841330328,-28403.9121744169,"name_truck"
"model_04","~1","~1","~name_truck",-35757.1999755716,-34461.0280169557,"name_truck"
"model_05","~name_truck","~name_truck","~1",-29710.973933945,-27679.7776329432,"name_truck"
"model_01","~object","~object","~object",-36527.9066544157,-33824.9139114484,"object"
"model_02","~object","~1","~1",-31941.3073199129,-30091.8912326194,"object"
"model_03","~1","~object","~1",-28738.8810811675,-27126.5696204502,"object"
"model_04","~1","~1","~object",-38548.3574395075,-36619.9064766887,"object"
"model_05","~object","~object","~1",-32176.3964944974,-29955.5164922347,"object"
"model_06","~object","~1","~object",-38310.6443798403,-35947.501601632,"object"
"model_07","~1","~object","~object",-31276.1159852332,-29387.182460177,"object"
"model_01","~velocity","~velocity","~velocity",-33812.1364764368,-30334.6019533209,"velocity"
"model_02","~velocity","~1","~1",-29898.1171592308,-27890.6313208866,"velocity"
"model_03","~1","~velocity","~1",-33172.447889566,-31481.1015533233,"velocity"
"model_04","~1","~1","~velocity",-24603.4689744015,-23109.7098269721,"velocity"
"model_05","~velocity","~velocity","~1",-35113.5894212442,-32940.1303442968,"velocity"
"model_06","~velocity","~1","~velocity",-37139.6301143664,-34539.382709582,"velocity"
"model_07","~1","~velocity","~velocity",-30641.6581939531,-28752.724668897,"velocity"
"model_01","~vertical_down","~vertical_down","~vertical_down",-34982.6877103797,-32335.0193802801,"vertical_down"
"model_02","~vertical_down","~1","~1",-31481.1079668128,-29592.1744417567,"vertical_down"
"model_03","~1","~vertical_down","~1",-28401.5635556518,-26828.7695326971,"vertical_down"
"model_04","~1","~1","~vertical_down",-38408.9838411597,-36441.0154405782,"vertical_down"
"model_05","~vertical_down","~vertical_down","~1",-31982.7517218571,-29809.2926449096,"vertical_down"
"model_06","~vertical_down","~1","~vertical_down",-37339.4642435011,-35023.742390608,"vertical_down"
"model_07","~1","~vertical_down","~vertical_down",-29715.4542530798,-27873.9416533389,"vertical_down"
"model_02","~vertical_up","~1","~1",-30773.4531752836,-29003.0719635155,"vertical_up"
"model_03","~1","~vertical_up","~1",-32569.4153966898,-30640.964433871,"vertical_up"
"model_04","~1","~1","~vertical_up",-33814.4783033454,-32202.166842628,"vertical_up"
"model_05","~vertical_up","~vertical_up","~1",-36526.469977522,-33878.8016474224,"vertical_up"
"model_06","~vertical_up","~1","~vertical_up",-29696.6992758425,-27333.5564976342,"vertical_up"
