"model_names","location.fun","scale.fun","shape.fun","AIC","BIC","variable"
"model_03","~1","~name_person","~1",14019.0419865752,15631.3534472926,"name_person"
"model_04","~1","~1","~name_person",17797.4050531066,19449.2339515866,"name_person"
"model_05","~name_person","~name_person","~1",18709.8920936455,20978.1930212234,"name_person"
"model_06","~name_person","~1","~name_person",18206.2035547,20711.609108854,"name_person"
"model_07","~1","~name_person","~name_person",26911.3699161132,29274.5126943215,"name_person"
"model_01","~name_special.building","~name_special.building","~name_special.building",16287.2524710289,19322.1916912028,"name_special.building"
"model_02","~name_special.building","~1","~1",13172.3962996558,14508.0856960344,"name_special.building"
"model_03","~1","~name_special.building","~1",13564.323628782,14900.0130251606,"name_special.building"
"model_04","~1","~1","~name_special.building",15810.605468983,17699.5389940391,"name_special.building"
"model_05","~name_special.building","~name_special.building","~1",15705.3820058662,17689.1573815528,"name_special.building"
"model_06","~name_special.building","~1","~name_special.building",16396.4434927854,18664.7444203633,"name_special.building"
"model_07","~1","~name_special.building","~name_special.building",18197.4078283587,20892.4970837735,"name_special.building"
"model_02","~name_street.light","~1","~1",9499.77115996994,10321.7338654337,"name_street.light"
"model_03","~1","~name_street.light","~1",13237.7442987284,14691.986008395,"name_street.light"
"model_04","~1","~1","~name_street.light",15041.5015974745,16693.3304959545,"name_street.light"
"model_05","~name_street.light","~name_street.light","~1",13603.612906234,15397.7045806597,"name_street.light"
"model_06","~name_street.light","~1","~name_street.light",18924.4948871725,22378.3189476308,"name_street.light"
"model_01","~name_tenement","~name_tenement","~name_tenement",21373.2366481492,24684.7979326618,"name_tenement"
"model_02","~name_tenement","~1","~1",11933.8083556573,13071.9105632225,"name_tenement"
"model_03","~1","~name_tenement","~1",12539.6811422353,13875.3705386139,"name_tenement"
"model_04","~1","~1","~name_tenement",20084.1886406218,22091.674478966,"name_tenement"
"model_05","~name_tenement","~name_tenement","~1",15805.4753285832,17931.5134802154,"name_tenement"
"model_06","~name_tenement","~1","~name_tenement",19076.9809735764,21440.1237517847,"name_tenement"
"model_07","~1","~name_tenement","~name_tenement",18283.1892290317,20504.0692312943,"name_tenement"
"model_01","~name_traffic.light","~name_traffic.light","~name_traffic.light",28166.2393693944,31533.1250667748,"name_traffic.light"
"model_02","~name_traffic.light","~1","~1",11384.8255730766,12483.4103428791,"name_traffic.light"
"model_03","~1","~name_traffic.light","~1",16207.6836626783,17780.4776856329,"name_traffic.light"
"model_04","~1","~1","~name_traffic.light",22906.1188416431,24913.6046799872,"name_traffic.light"
"model_05","~name_traffic.light","~name_traffic.light","~1",16288.5156532385,18319.7119542403,"name_traffic.light"
"model_06","~name_traffic.light","~1","~name_traffic.light",25731.5318600069,28142.0955635304,"name_traffic.light"
"model_07","~1","~name_traffic.light","~name_traffic.light",27634.1361719523,30329.2254273672,"name_traffic.light"
"model_02","~name_traffic.sign","~1","~1",10634.2393292554,11693.3066612952,"name_traffic.sign"
"model_03","~1","~name_traffic.sign","~1",11056.786207259,12234.4058525869,"name_traffic.sign"
"model_04","~1","~1","~name_traffic.sign",13946.977102316,15559.2885630333,"name_traffic.sign"
"model_05","~name_traffic.sign","~name_traffic.sign","~1",15341.4585874291,17514.9176643765,"name_traffic.sign"
"model_06","~name_traffic.sign","~1","~name_traffic.sign",18282.805663716,20977.8949191308,"name_traffic.sign"
"model_07","~1","~name_traffic.sign","~name_traffic.sign",15829.9641367779,18193.1069149862,"name_traffic.sign"
"model_01","~name_tree","~name_tree","~name_tree",26996.0716614957,31137.4991390247,"name_tree"
"model_02","~name_tree","~1","~1",10792.1693045891,11930.2715121543,"name_tree"
"model_03","~1","~name_tree","~1",11760.4051882821,13017.0597091353,"name_tree"
"model_04","~1","~1","~name_tree",18317.9010153614,20206.8345404175,"name_tree"
"model_05","~name_tree","~name_tree","~1",14721.4623679777,16847.50051961,"name_tree"
"model_06","~name_tree","~1","~name_tree",25680.5606215546,28565.3335782302,"name_tree"
"model_07","~1","~name_tree","~name_tree",23374.1184599706,26211.470491331,"name_tree"
"model_01","~name_tree..group.","~name_tree..group.","~name_tree..group.",21109.9175413153,24864.07412877,"name_tree..group."
"model_02","~name_tree..group.","~1","~1",10749.2677017188,11887.369909284,"name_tree..group."
"model_03","~1","~name_tree..group.","~1",11740.8058431001,13116.0126772414,"name_tree..group."
"model_04","~1","~1","~name_tree..group.",17666.602294652,19436.9835064201,"name_tree..group."
"model_05","~name_tree..group.","~name_tree..group.","~1",12856.6003799732,14887.7966809749,"name_tree..group."
"model_06","~name_tree..group.","~1","~name_tree..group.",19196.0315270209,21511.753379914,"name_tree..group."
"model_07","~1","~name_tree..group.","~name_tree..group.",17165.1947379533,19386.074740216,"name_tree..group."
"model_02","~name_truck","~1","~1",10747.9278094572,11806.995141497,"name_truck"
"model_03","~1","~name_truck","~1",10791.9837162228,11930.085923788,"name_truck"
"model_05","~name_truck","~name_truck","~1",14764.0250783372,17222.0097071759,"name_truck"
"model_07","~1","~name_truck","~name_truck",21353.3276682102,25139.098205875,"name_truck"
"model_01","~object","~object","~object",17224.8480960167,20149.1384904551,"object"
"model_02","~object","~1","~1",9737.66402010194,10638.6616010911,"object"
"model_03","~1","~object","~1",10480.5545457564,11500.1044400336,"object"
"model_04","~1","~1","~object",18355.5983917919,20125.97960356,"object"
"model_05","~object","~object","~1",13027.9246303567,14632.3326035216,"object"
"model_06","~object","~1","~object",27350.7884802109,29571.6684824736,"object"
"model_07","~1","~object","~object",16709.2171086937,19024.9389615868,"object"
"model_02","~velocity","~1","~1",10168.9715036373,11346.5911489652,"velocity"
"model_03","~1","~velocity","~1",10981.1179574636,12198.2550405542,"velocity"
"model_04","~1","~1","~velocity",26960.7900616851,28494.0666468771,"velocity"
"model_05","~velocity","~velocity","~1",12815.0130968656,14798.7884725522,"velocity"
"model_06","~velocity","~1","~velocity",10650.4653211574,12017.7686677462,"velocity"
"model_07","~1","~velocity","~velocity",18938.4106889513,20827.3442140074,"velocity"
"model_01","~vertical_down","~vertical_down","~vertical_down",15387.4296820343,17869.1247735307,"vertical_down"
"model_02","~vertical_down","~1","~1",9338.50902814046,10160.4717336042,"vertical_down"
"model_03","~1","~vertical_down","~1",11424.7071299109,12602.3267752388,"vertical_down"
"model_04","~1","~1","~vertical_down",15906.8868677969,17440.1634529889,"vertical_down"
"model_05","~vertical_down","~vertical_down","~1",14814.3247437651,16798.1001194516,"vertical_down"
"model_06","~vertical_down","~1","~vertical_down",19909.3103266126,22082.7694035601,"vertical_down"
"model_07","~1","~vertical_down","~vertical_down",18460.8910175284,20729.1919451063,"vertical_down"
"model_01","~vertical_up","~vertical_up","~vertical_up",32569.120958202,36544.5751971276,"vertical_up"
"model_02","~vertical_up","~1","~1",12829.0164765389,14283.2581862055,"vertical_up"
"model_03","~1","~vertical_up","~1",12364.6162658438,13700.3056622224,"vertical_up"
"model_04","~1","~1","~vertical_up",19160.2261077246,21207.2293838314,"vertical_up"
"model_05","~vertical_up","~vertical_up","~1",14904.5926236582,17172.893551236,"vertical_up"
"model_06","~vertical_up","~1","~vertical_up",32000.5856848803,35169.8841934473,"vertical_up"
"model_07","~1","~vertical_up","~vertical_up",24829.5671108282,27666.9191421886,"vertical_up"
