"model_names","location.fun","scale.fun","shape.fun","AIC","BIC","variable"
"model_00","~1","~1","~1",6221.68888708391,6647.09896903051,"1"
"model_01","~area","~area","~area",9529.15360484635,12045.562394666,"area"
"model_02","~area","~1","~1",7188.28516033861,8010.2639627439,"area"
"model_03","~1","~area","~1",8400.19424103843,9258.22474530359,"area"
"model_04","~1","~1","~area",8573.1104526868,9719.55457183102,"area"
"model_05","~area","~area","~1",8621.84528142484,10215.3305036316,"area"
"model_06","~area","~1","~area",8197.56920397442,9920.84055287673,"area"
"model_07","~1","~area","~area",7743.37387057628,9293.59705055116,"area"
"model_01","~horizontal_left","~horizontal_left","~horizontal_left",12741.1887010903,15964.2108473636,"horizontal_left"
"model_02","~horizontal_left","~1","~1",8520.48697201621,9666.93109116043,"horizontal_left"
"model_03","~1","~horizontal_left","~1",9060.53284334322,10279.0803662072,"horizontal_left"
"model_04","~1","~1","~horizontal_left",10279.0174961633,11677.8235283267,"horizontal_left"
"model_05","~horizontal_left","~horizontal_left","~1",9325.0646103136,10961.8118747522,"horizontal_left"
"model_06","~horizontal_left","~1","~horizontal_left",12428.0880580567,15059.862293828,"horizontal_left"
"model_07","~1","~horizontal_left","~horizontal_left",10316.8683957929,12213.1879136227,"horizontal_left"
"model_01","~horizontal_right","~horizontal_right","~horizontal_right",9108.76912624686,11271.8712378397,"horizontal_right"
"model_02","~horizontal_right","~1","~1",7000.01274322067,7894.09494934572,"horizontal_right"
"model_03","~1","~horizontal_right","~1",8036.69408480426,8894.72458906942,"horizontal_right"
"model_04","~1","~1","~horizontal_right",7609.34701785438,8503.42922397943,"horizontal_right"
"model_05","~horizontal_right","~horizontal_right","~1",7757.27919066202,8918.14399055019,"horizontal_right"
"model_06","~horizontal_right","~1","~horizontal_right",8061.40189828009,9698.14916271869,"horizontal_right"
"model_07","~1","~horizontal_right","~horizontal_right",8379.97622904735,9886.93736679037,"horizontal_right"
"model_01","~name_bus","~name_bus","~name_bus",8393.47413039564,10051.8524159502,"name_bus"
"model_02","~name_bus","~1","~1",6038.6529343893,6788.52833307482,"name_bus"
"model_03","~1","~name_bus","~1",6542.34632634902,7292.22172503454,"name_bus"
"model_04","~1","~1","~name_bus",8493.67862962668,9351.70913389185,"name_bus"
"model_05","~name_bus","~name_bus","~1",7848.10126002532,8879.17993321791,"name_bus"
"model_06","~name_bus","~1","~name_bus",8446.87636646978,9651.00320858981,"name_bus"
"model_07","~1","~name_bus","~name_bus",8807.09693940193,10097.7478659857,"name_bus"
"model_01","~name_car","~name_car","~name_car",9400.75715384565,11664.8040306462,"name_car"
"model_02","~name_car","~1","~1",7385.77147121355,8279.8536773386,"name_car"
"model_03","~1","~name_car","~1",6703.12001005997,7525.09881246525,"name_car"
"model_04","~1","~1","~name_car",9375.73005499346,10594.2775778574,"name_car"
"model_05","~name_car","~name_car","~1",7975.76055858201,9309.67352739761,"name_car"
"model_06","~name_car","~1","~name_car",10506.4113627869,12532.5170073122,"name_car"
"model_07","~1","~name_car","~name_car",8719.27448208962,10399.2837887601,"name_car"
"model_02","~name_car..group.","~1","~1",7514.49177595415,8408.57398207919,"name_car..group."
"model_03","~1","~name_car..group.","~1",8352.77955149687,9210.81005576204,"name_car..group."
"model_04","~1","~1","~name_car..group.",8463.38967297768,9609.83379212189,"name_car..group."
"model_05","~name_car..group.","~name_car..group.","~1",8070.19433619222,9317.5832205441,"name_car..group."
"model_06","~name_car..group.","~1","~name_car..group.",9881.30625095345,11604.5775998558,"name_car..group."
"model_07","~1","~name_car..group.","~name_car..group.",10862.4769763442,12802.0585364058,"name_car..group."
"model_02","~name_electric.pole","~1","~1",7892.66362013524,8786.74582626029,"name_electric.pole"
"model_03","~1","~name_electric.pole","~1",9154.80978087485,10229.1504962993,"name_electric.pole"
"model_04","~1","~1","~name_electric.pole",10831.3707518302,12302.2801877133,"name_electric.pole"
"model_05","~name_electric.pole","~name_electric.pole","~1",10373.0625967033,12269.382114533,"name_electric.pole"
"model_01","~name_fence","~name_fence","~name_fence",16909.7307780627,21344.090106828,"name_fence"
"model_02","~name_fence","~1","~1",7496.53514329127,8498.77245499596,"name_fence"
"model_03","~1","~name_fence","~1",9204.633953353,10387.1297743571,"name_fence"
