"model_names","location.fun","scale.fun","shape.fun","AIC","BIC"
"model_01","~name_house..group.","~name_house..group.","~name_house..group.","8336.22436714364","9944.13027009433"
"model_02","~name_house..group.","~1","~1","6563.67144232677","7349.59854287218"
"model_03","~1","~name_house..group.","~1","6549.61607200494","7335.54317255035"
"model_04","~1","~1","~name_house..group.","9306.25149833098","10344.5405118955"
"model_05","~name_house..group.","~name_house..group.","~1","7349.75252384427","8597.14140819615"
"model_06","~name_house..group.","~1","~name_house..group.","6563.8852981157","7811.27418246758"
"model_07","~1","~name_house..group.","~name_house..group.","7642.84219205771","8890.23107640959"
