"model_names","location.fun","scale.fun","shape.fun","AIC","BIC"
"model_01","~velocity","~velocity","~velocity","-9226.39634399571","-6609.04278896836"
"model_02","~velocity","~1","~1","-8539.67046316217","-7573.48485331736"
"model_03","~1","~velocity","~1","-8635.35434745941","-7488.9102283152"
"model_04","~1","~1","~velocity","-9307.76108735112","-7728.69654588834"
"model_05","~velocity","~velocity","~1","-8444.33483437478","-6894.1116543999"
"model_06","~velocity","~1","~velocity","-9241.07976770897","-7258.23616541552"
"model_07","~1","~velocity","~velocity","-9297.03914837869","-7011.36125046224"
