"model_names","location.fun","scale.fun","shape.fun","AIC","BIC"
"model_01","~horizontal_right","~horizontal_right","~horizontal_right","-5056.87257019036","-1413.36480847121"
"model_02","~horizontal_right","~1","~1","-6013.43884092897","-4519.67969349964"
"model_03","~1","~horizontal_right","~1","-5720.78729016981","-3871.37120287635"
"model_04","~1","~1","~horizontal_right","-4930.50942956864","-2448.8143380723"
"model_05","~horizontal_right","~horizontal_right","~1","-5101.53886851864","-2596.13331436468"
"model_06","~horizontal_right","~1","~horizontal_right","-5366.06188003014","-2433.86799803923"
"model_07","~1","~horizontal_right","~horizontal_right","-5240.87244924232","-2830.3087457188"
