"model_names","location.fun","scale.fun","shape.fun","AIC","BIC","variable"
"model_00","~1","~1","~1",-20778.5124666631,-20280.5927508533,"1"
"model_02","~area","~1","~1",-17936.5500404065,-17035.5524594174,"area"
"model_03","~1","~area","~1",-18148.4679012986,-16812.77850492,"area"
"model_04","~1","~1","~area",-21214.4136447626,-19681.1370595705,"area"
"model_05","~area","~area","~1",-17947.4757979186,-15963.700422232,"area"
"model_06","~area","~1","~area",-15769.2513405001,-13216.424861031,"area"
"model_01","~horizontal_left","~horizontal_left","~horizontal_left",-10936.5743831333,-6573.84925413338,"horizontal_left"
"model_02","~horizontal_left","~1","~1",-17544.3103191549,-16406.2081115897,"horizontal_left"
"model_03","~1","~horizontal_left","~1",-21823.8481218409,-20290.5715366489,"horizontal_left"
"model_04","~1","~1","~horizontal_left",-20152.0693705716,-18144.5835322274,"horizontal_left"
"model_05","~horizontal_left","~horizontal_left","~1",-17542.6202845409,-14800.1101038109,"horizontal_left"
"model_06","~horizontal_left","~1","~horizontal_left",-15769.8618264241,-12505.7214672267,"horizontal_left"
"model_07","~1","~horizontal_left","~horizontal_left",-20408.0665447073,-18044.923766499,"horizontal_left"
"model_01","~horizontal_right","~horizontal_right","~horizontal_right",-17953.0780581892,-14641.5167736766,"horizontal_right"
"model_02","~horizontal_right","~1","~1",-19655.6843296072,-18517.582122042,"horizontal_right"
"model_03","~1","~horizontal_right","~1",-20091.7055138645,-18400.3591776218,"horizontal_right"
"model_04","~1","~1","~horizontal_right",-19415.1646748905,-17407.6788365463,"horizontal_right"
"model_05","~horizontal_right","~horizontal_right","~1",-19209.277472752,-16988.3974704894,"horizontal_right"
"model_06","~horizontal_right","~1","~horizontal_right",-18835.7199788696,-16472.5772006613,"horizontal_right"
"model_07","~1","~horizontal_right","~horizontal_right",-18900.4576368529,-16252.7893067533,"horizontal_right"
"model_01","~name_bus","~name_bus","~name_bus",-17478.7975868529,-13890.6142380015,"name_bus"
"model_02","~name_bus","~1","~1",-20358.6776832109,-19220.5754756457,"name_bus"
"model_03","~1","~name_bus","~1",-20420.8410396494,-19164.1865187962,"name_bus"
"model_04","~1","~1","~name_bus",-19197.6486175931,-17703.8894701638,"name_bus"
"model_05","~name_bus","~name_bus","~1",-19983.5081904376,-17667.7863375445,"name_bus"
"model_06","~name_bus","~1","~name_bus",-18759.2784798383,-15969.347373793,"name_bus"
"model_07","~1","~name_bus","~name_bus",-17311.4309479514,-14758.6044684822,"name_bus"
"model_02","~name_car","~1","~1",-13165.4058046026,-12106.3384725627,"name_car"
"model_03","~1","~name_car","~1",-20629.38542593,-19135.6262785007,"name_car"
"model_04","~1","~1","~name_car",-20614.2197577547,-18883.3559837493,"name_car"
"model_05","~name_car","~name_car","~1",-16802.1042098084,-14391.5405062849,"name_car"
"model_06","~name_car","~1","~name_car",-14052.5718445194,-10741.0105600067,"name_car"
"model_07","~1","~name_car","~name_car",-19171.0084927227,-16523.3401626231,"name_car"
"model_01","~name_car..group.","~name_car..group.","~name_car..group.",-15311.7840009542,-12000.2227164415,"name_car..group."
"model_02","~name_car..group.","~1","~1",-17866.9513939824,-16689.3317486545,"name_car..group."
"model_03","~1","~name_car..group.","~1",-17946.3384608435,-16650.1665022276,"name_car..group."
"model_04","~1","~1","~name_car..group.",-20705.426091596,-19093.1146308786,"name_car..group."
"model_05","~name_car..group.","~name_car..group.","~1",-16391.0616324323,-13933.0770035935,"name_car..group."
"model_06","~name_car..group.","~1","~name_car..group.",-15992.6294846587,-13961.4331836569,"name_car..group."
"model_07","~1","~name_car..group.","~name_car..group.",-18174.2901826967,-16522.4612842167,"name_car..group."
"model_01","~name_electric.pole","~name_electric.pole","~name_electric.pole",-16166.1982619625,-12301.3928487723,"name_electric.pole"
"model_02","~name_electric.pole","~1","~1",-19499.1707629878,-18361.0685554226,"name_electric.pole"
"model_03","~1","~name_electric.pole","~1",-19133.9420163481,-17521.6305556307,"name_electric.pole"
