"model_names","location.fun","scale.fun","shape.fun","AIC","BIC","variable"
"model_00","~1","~1","~1",4361.77476391071,4642.97803841778,"1"
"model_01","~area","~area","~area",11516.3218932027,13528.0068569841,"area"
"model_02","~area","~1","~1",8141.16083576942,9071.29474375434,"area"
"model_03","~1","~area","~1",6946.87418201604,7768.85298442133,"area"
"model_04","~1","~1","~area",10517.2679226329,11447.4018306179,"area"
"model_05","~area","~area","~1",8320.66263086747,9395.00334629192,"area"
"model_06","~area","~1","~area",10322.2759139872,11569.6647983391,"area"
"model_07","~1","~area","~area",6911.58553492012,7899.40216588085,"area"
"model_01","~horizontal_left","~horizontal_left","~horizontal_left",9222.59929937126,10830.505202322,"horizontal_left"
"model_02","~horizontal_left","~1","~1",6213.7673652825,6999.69446582791,"horizontal_left"
"model_03","~1","~horizontal_left","~1",7067.34038404183,7961.42259016688,"horizontal_left"
"model_04","~1","~1","~horizontal_left",10659.5846779046,11878.1322007685,"horizontal_left"
"model_05","~horizontal_left","~horizontal_left","~1",7759.58431990883,9050.23524649257,"horizontal_left"
"model_06","~horizontal_left","~1","~horizontal_left",9726.82257717701,11233.78371492,"horizontal_left"
"model_07","~1","~horizontal_left","~horizontal_left",10632.3927550501,12096.0918505612,"horizontal_left"
"model_01","~horizontal_right","~horizontal_right","~horizontal_right",10233.1530217106,11992.4760724728,"horizontal_right"
"model_02","~horizontal_right","~1","~1",7412.76662229543,8270.7971265606,"horizontal_right"
"model_03","~1","~horizontal_right","~1",8194.71547832815,9160.90108817296,"horizontal_right"
"model_04","~1","~1","~horizontal_right",11507.1411946826,12689.6370156867,"horizontal_right"
"model_05","~horizontal_right","~horizontal_right","~1",9175.65907886886,10423.0479632207,"horizontal_right"
"model_06","~horizontal_right","~1","~horizontal_right",12630.3029239823,14440.0983573483,"horizontal_right"
"model_07","~1","~horizontal_right","~horizontal_right",8601.82139349834,9719.42415115465,"horizontal_right"
"model_01","~name_bus","~name_bus","~name_bus",11387.0107264049,13953.8918988285,"name_bus"
"model_02","~name_bus","~1","~1",5367.99438029003,5973.66297153603,"name_bus"
"model_03","~1","~name_bus","~1",5948.76979134602,6662.59348817166,"name_bus"
"model_04","~1","~1","~name_bus",9097.55098816235,10316.0985110263,"name_bus"
"model_05","~name_bus","~name_bus","~1",7254.64317765923,8372.24593531554,"name_bus"
"model_06","~name_bus","~1","~name_bus",9973.81255309695,11999.9181976223,"name_bus"
"model_07","~1","~name_bus","~name_bus",10185.3359444904,11865.3452511608,"name_bus"
"model_01","~name_car","~name_car","~name_car",11057.8129597526,13271.3874539492,"name_car"
"model_02","~name_car","~1","~1",7292.70385405493,8114.68265646022,"name_car"
"model_03","~1","~name_car","~1",8566.9809623439,9605.26997590847,"name_car"
"model_04","~1","~1","~name_car",8781.64615554053,9892.03857282486,"name_car"
"model_05","~name_car","~name_car","~1",8488.75304457607,9952.45214008724,"name_car"
"model_06","~name_car","~1","~name_car",12414.9591230524,14527.5888520414,"name_car"
"model_07","~1","~name_car","~name_car",7360.80354307674,8694.71651189233,"name_car"
"model_02","~name_car..group.","~1","~1",5361.45077198308,5967.11936322908,"name_car..group."
"model_03","~1","~name_car..group.","~1",5147.50180048972,5717.11868987584,"name_car..group."
"model_05","~name_car..group.","~name_car..group.","~1",7941.60821071398,9188.99709506586,"name_car..group."
"model_02","~name_electric.pole","~1","~1",6806.1228913495,7664.15339561466,"name_electric.pole"
"model_03","~1","~name_electric.pole","~1",8628.43545728185,9702.7761727063,"name_electric.pole"
"model_04","~1","~1","~name_electric.pole",9394.92977743009,10541.3738965743,"name_electric.pole"
"model_05","~name_electric.pole","~name_electric.pole","~1",10093.9281184298,11600.8892561729,"name_electric.pole"
"model_01","~name_fence","~name_fence","~name_fence",8968.85024444116,10627.2285299957,"name_fence"
"model_02","~name_fence","~1","~1",6619.66571207153,7369.54111075705,"name_fence"
"model_03","~1","~name_fence","~1",7161.23354972976,8019.26405399492,"name_fence"
"model_04","~1","~1","~name_fence",8058.0411103932,9204.48522953741,"name_fence"
"model_05","~name_fence","~name_fence","~1",7019.6886677165,8007.50529867724,"name_fence"
"model_06","~name_fence","~1","~name_fence",10749.7393713573,12343.2245935641,"name_fence"
"model_07","~1","~name_fence","~name_fence",8734.23446779072,10068.1474366063,"name_fence"
"model_01","~name_house","~name_house","~name_house",9425.37707638167,11386.5896575592,"name_house"
"model_02","~name_house","~1","~1",6514.37971812077,7192.15171308653,"name_house"
"model_04","~1","~1","~name_house",8324.03959729396,9182.07010155912,"name_house"
"model_06","~name_house","~1","~name_house",11369.9409903192,13396.0466348445,"name_house"
"model_07","~1","~name_house","~name_house",7392.04731585093,8942.27049582581,"name_house"
"model_01","~name_house..group.","~name_house..group.","~name_house..group.",7388.31459255935,8895.27573030238,"name_house..group."
"model_02","~name_house..group.","~1","~1",6824.6394009156,7538.46309774124,"name_house..group."
"model_03","~1","~name_house..group.","~1",6052.59259746686,6838.51969801226,"name_house..group."
"model_04","~1","~1","~name_house..group.",10632.0464544251,11526.1286605501,"name_house..group."
"model_06","~name_house..group.","~1","~name_house..group.",7489.35147748359,8433.90606621247,"name_house..group."
"model_07","~1","~name_house..group.","~name_house..group.",8168.59406418963,9329.4588640778,"name_house..group."
"model_01","~name_person","~name_person","~name_person",9469.42432075587,11127.8026063104,"name_person"
"model_02","~name_person","~1","~1",8353.46354962,9319.64915946481,"name_person"
"model_03","~1","~name_person","~1",8832.3154261383,9906.65614156275,"name_person"
"model_04","~1","~1","~name_person",11139.1476327393,12429.798559323,"name_person"
"model_05","~name_person","~name_person","~1",7576.69785002223,8694.30060767854,"name_person"
"model_06","~name_person","~1","~name_person",10310.1607292526,12076.6941203868,"name_person"
"model_07","~1","~name_person","~name_person",8712.30732871816,10089.4823397656,"name_person"
"model_01","~name_special.building","~name_special.building","~name_special.building",12406.1077600289,15477.7127584908,"name_special.building"
"model_02","~name_special.building","~1","~1",5580.63471155703,6258.4067065228,"name_special.building"
"model_03","~1","~name_special.building","~1",6154.44134864463,6940.36844919003,"name_special.building"
"model_04","~1","~1","~name_special.building",7128.61182670145,8022.69403282649,"name_special.building"
"model_05","~name_special.building","~name_special.building","~1",6376.89201868345,7407.97069187604,"name_special.building"
"model_06","~name_special.building","~1","~name_special.building",11497.6288018562,14042.8789531638,"name_special.building"
"model_07","~1","~name_special.building","~name_special.building",9749.54882284279,11689.1303829044,"name_special.building"
"model_01","~name_street.light","~name_street.light","~name_street.light",8337.44064094106,10147.2360743071,"name_street.light"
"model_02","~name_street.light","~1","~1",5555.07155140351,6052.58503706986,"name_street.light"
"model_03","~1","~name_street.light","~1",6878.79751183403,7628.67291051955,"name_street.light"
"model_04","~1","~1","~name_street.light",9786.68572837374,10824.9747419383,"name_street.light"
"model_05","~name_street.light","~name_street.light","~1",12294.6138096187,13974.6231162892,"name_street.light"
"model_06","~name_street.light","~1","~name_street.light",13546.4143271332,15529.2579294266,"name_street.light"
"model_07","~1","~name_street.light","~name_street.light",13170.7230100734,15369.8768235261,"name_street.light"
"model_01","~name_tenement","~name_tenement","~name_tenement",9484.55708142526,11142.9353669798,"name_tenement"
"model_02","~name_tenement","~1","~1",6561.87046990476,7347.79757045016,"name_tenement"
"model_03","~1","~name_tenement","~1",6282.72808287776,6996.5517797034,"name_tenement"
"model_04","~1","~1","~name_tenement",7296.1579621053,8009.98165893094,"name_tenement"
"model_05","~name_tenement","~name_tenement","~1",11606.7358762445,13243.4831406831,"name_tenement"
"model_06","~name_tenement","~1","~name_tenement",10819.3505812198,12456.0978456584,"name_tenement"
"model_07","~1","~name_tenement","~name_tenement",9454.99130189175,10529.3320173162,"name_tenement"
"model_01","~name_traffic.light","~name_traffic.light","~name_traffic.light",8852.5763953629,10460.4822983136,"name_traffic.light"
"model_02","~name_traffic.light","~1","~1",6405.9372439228,7227.91604632809,"name_traffic.light"
"model_03","~1","~name_traffic.light","~1",6263.51396720113,7049.44106774653,"name_traffic.light"
"model_04","~1","~1","~name_traffic.light",7993.75527008735,8887.8374762124,"name_traffic.light"
"model_05","~name_traffic.light","~name_traffic.light","~1",7605.85399613223,8896.50492271597,"name_traffic.light"
"model_06","~name_traffic.light","~1","~name_traffic.light",8505.38794480914,9752.77682916102,"name_traffic.light"
"model_07","~1","~name_traffic.light","~name_traffic.light",8127.53839772518,9331.6652398452,"name_traffic.light"
"model_01","~name_traffic.sign","~name_traffic.sign","~name_traffic.sign",6192.0863996059,7396.21324172592,"name_traffic.sign"
"model_02","~name_traffic.sign","~1","~1",9025.31090520729,10063.5999187719,"name_traffic.sign"
"model_03","~1","~name_traffic.sign","~1",10322.0790927952,11540.6266156592,"name_traffic.sign"
"model_04","~1","~1","~name_traffic.sign",9501.20388216428,10611.5962994486,"name_traffic.sign"
"model_05","~name_traffic.sign","~name_traffic.sign","~1",9216.04556907775,10420.1724111978,"name_traffic.sign"
"model_06","~name_traffic.sign","~1","~name_traffic.sign",6329.39177429009,7360.47044748268,"name_traffic.sign"
"model_07","~1","~name_traffic.sign","~name_traffic.sign",6693.54137302038,7681.35800398111,"name_traffic.sign"
"model_02","~name_tree","~1","~1",5474.50663832526,6116.22693143114,"name_tree"
"model_03","~1","~name_tree","~1",7277.92015961877,7991.74385644442,"name_tree"
"model_05","~name_tree","~name_tree","~1",7785.97887011447,9206.41592339378,"name_tree"
"model_07","~1","~name_tree","~name_tree",6888.89813307803,7833.45272180691,"name_tree"
"model_02","~name_tree..group.","~1","~1",6558.78132572647,7488.9152337114,"name_tree..group."
"model_03","~1","~name_tree..group.","~1",6984.58707057088,7770.51417111628,"name_tree..group."
"model_04","~1","~1","~name_tree..group.",9058.04175685528,10096.3307704199,"name_tree..group."
"model_05","~name_tree..group.","~name_tree..group.","~1",8346.33493067954,9766.77198395885,"name_tree..group."
"model_07","~1","~name_tree..group.","~name_tree..group.",8085.16145407984,9289.28829619986,"name_tree..group."
"model_02","~name_truck","~1","~1",6158.03842283464,6907.91382152016,"name_truck"
"model_03","~1","~name_truck","~1",6194.08923957188,6980.01634011728,"name_truck"
"model_04","~1","~1","~name_truck",9096.63619268224,10098.8735043869,"name_truck"
"model_05","~name_truck","~name_truck","~1",8161.63779115052,9538.81280219797,"name_truck"
"model_07","~1","~name_truck","~name_truck",9304.20320192996,10767.9022974411,"name_truck"
"model_01","~object","~object","~object",10214.8065577646,11923.6572259229,"object"
"model_02","~object","~1","~1",6612.98976637741,7434.96856878269,"object"
"model_03","~1","~object","~1",8377.76592089477,9343.95153073958,"object"
"model_04","~1","~1","~object",10778.2256793659,11888.6180966503,"object"
"model_05","~object","~object","~1",8332.63615032943,9666.54911914502,"object"
"model_06","~object","~1","~object",10598.0076661589,12061.7067616701,"object"
"model_07","~1","~object","~object",9681.47293749315,10928.861821845,"object"
"model_01","~velocity","~velocity","~velocity",8297.08016126009,9854.51368160694,"velocity"
"model_02","~velocity","~1","~1",8925.66181996972,10000.0025353942,"velocity"
"model_03","~1","~velocity","~1",7368.21650674794,8154.14360729335,"velocity"
"model_04","~1","~1","~velocity",10419.8950821345,11854.7528161577,"velocity"
"model_05","~velocity","~velocity","~1",8440.66397416854,9688.05285852042,"velocity"
"model_06","~velocity","~1","~velocity",7398.38809635439,8429.46676954699,"velocity"
"model_07","~1","~velocity","~velocity",8593.34069292371,9710.94345058002,"velocity"
"model_01","~vertical_down","~vertical_down","~vertical_down",10400.2761013283,12058.6543868828,"vertical_down"
"model_02","~vertical_down","~1","~1",6063.46499219529,6813.34039088081,"vertical_down"
"model_03","~1","~vertical_down","~1",9188.53186323703,10118.665771222,"vertical_down"
"model_04","~1","~1","~vertical_down",12372.6121749241,13663.2631015078,"vertical_down"
"model_05","~vertical_down","~vertical_down","~1",10006.4618364121,11340.3748052277,"vertical_down"
"model_06","~vertical_down","~1","~vertical_down",11127.3389484949,12634.3000862379,"vertical_down"
"model_07","~1","~vertical_down","~vertical_down",9595.61470080958,10843.0035851615,"vertical_down"
"model_01","~vertical_up","~vertical_up","~vertical_up",9498.29320809846,11358.5610240683,"vertical_up"
"model_02","~vertical_up","~1","~1",5553.093261293,6194.81355439888,"vertical_up"
"model_03","~1","~vertical_up","~1",7083.37469295462,7869.30179350003,"vertical_up"
"model_04","~1","~1","~vertical_up",7129.42279306207,7879.2981917476,"vertical_up"
"model_05","~vertical_up","~vertical_up","~1",7115.38484410655,8146.46351729914,"vertical_up"
"model_06","~vertical_up","~1","~vertical_up",8641.30762885153,10191.5308088264,"vertical_up"
"model_07","~1","~vertical_up","~vertical_up",7687.44018985572,8934.8290742076,"vertical_up"
