"model_names","location.fun","scale.fun","shape.fun","AIC","BIC","variable"
"model_00","~1","~1","~1",-22116.8339299288,-21691.4238479822,"1"
"model_01","~area","~area","~area",-27198.6762058703,-25086.0464768813,"area"
"model_02","~area","~1","~1",-27028.9641309995,-25846.4683099954,"area"
"model_03","~1","~area","~1",-23832.6912619123,-22830.4539502076,"area"
"model_04","~1","~1","~area",-30056.975532791,-28802.3763080671,"area"
"model_05","~area","~area","~1",-28389.9064851658,-26796.4212629591,"area"
"model_06","~area","~1","~area",-23752.961023648,-21813.3794635864,"area"
"model_07","~1","~area","~area",-36834.9648854098,-34938.6453675801,"area"
"model_01","~horizontal_left","~horizontal_left","~horizontal_left",-30490.7483444219,-28680.9529110559,"horizontal_left"
"model_02","~horizontal_left","~1","~1",-29308.6626206724,-28342.4770108276,"horizontal_left"
"model_03","~1","~horizontal_left","~1",-22946.9016148451,-22016.7677068602,"horizontal_left"
"model_04","~1","~1","~horizontal_left",-25520.4981989438,-24338.0023779397,"horizontal_left"
"model_05","~horizontal_left","~horizontal_left","~1",-33332.3214686213,-31695.5742041827,"horizontal_left"
"model_06","~horizontal_left","~1","~horizontal_left",-22212.0845042625,-21051.2197043743,"horizontal_left"
"model_07","~1","~horizontal_left","~horizontal_left",-26945.0296541681,-25524.5926008888,"horizontal_left"
"model_01","~horizontal_right","~horizontal_right","~horizontal_right",-29016.413351054,-27156.1455350842,"horizontal_right"
"model_02","~horizontal_right","~1","~1",-25822.4111904806,-24748.0704750562,"horizontal_right"
"model_03","~1","~horizontal_right","~1",-26427.4511903938,-25244.9553693897,"horizontal_right"
"model_04","~1","~1","~horizontal_right",-29591.1378771118,-28444.6937579675,"horizontal_right"
"model_05","~horizontal_right","~horizontal_right","~1",-29023.9107915259,-27430.4255693192,"horizontal_right"
"model_06","~horizontal_right","~1","~horizontal_right",-30195.3151923507,-28688.3540546076,"horizontal_right"
"model_07","~1","~horizontal_right","~horizontal_right",-27861.1800412114,-26310.9568612366,"horizontal_right"
"model_01","~name_bus","~name_bus","~name_bus",-29536.2840913089,-26060.9000320164,"name_bus"
"model_02","~name_bus","~1","~1",-22890.6314983242,-21924.4458884793,"name_bus"
"model_03","~1","~name_bus","~1",-22693.7394711921,-21475.1919483281,"name_bus"
"model_04","~1","~1","~name_bus",-22361.6704206343,-20854.7092828913,"name_bus"
"model_06","~name_bus","~1","~name_bus",-26045.7587758601,-23413.9845400888,"name_bus"
"model_07","~1","~name_bus","~name_bus",-25650.1156275301,-23580.7479407729,"name_bus"
"model_02","~name_car","~1","~1",-24029.901477521,-23063.7158676762,"name_car"
"model_03","~1","~name_car","~1",-27857.1958407749,-26710.7517216307,"name_car"
"model_04","~1","~1","~name_car",-26557.8022516488,-25303.203026925,"name_car"
"model_05","~name_car","~name_car","~1",-23156.8173236461,-21822.9043548305,"name_car"
"model_07","~1","~name_car","~name_car",-25330.191583922,-23953.0165728746,"name_car"
"model_01","~name_car..group.","~name_car..group.","~name_car..group.",-31748.8997919003,-30040.0491237419,"name_car..group."
"model_02","~name_car..group.","~1","~1",-22856.699154061,-21962.6169479359,"name_car..group."
"model_03","~1","~name_car..group.","~1",-22672.6657410222,-21814.6352367571,"name_car..group."
"model_04","~1","~1","~name_car..group.",-32604.8124188732,-31638.6268090284,"name_car..group."
"model_05","~name_car..group.","~name_car..group.","~1",-25370.3837338007,-24166.2568916806,"name_car..group."
"model_06","~name_car..group.","~1","~name_car..group.",-29782.6184212651,-28189.1331990584,"name_car..group."
"model_07","~1","~name_car..group.","~name_car..group.",-29612.4423527946,-28365.0534684428,"name_car..group."
