"model_names","location.fun","scale.fun","shape.fun","AIC","BIC"
"model_01","~name_electric.pole","~name_electric.pole","~name_electric.pole","13809.0529848134","16678.018966384"
"model_02","~name_electric.pole","~1","~1","11714.5341163783","13050.2235127569"
"model_03","~1","~name_electric.pole","~1","11757.9009475025","13054.0729061184"
"model_04","~1","~1","~name_electric.pole","13152.7369805496","14725.5310035043"
"model_05","~name_electric.pole","~name_electric.pole","~1","12724.1881177163","14660.5425680876"
"model_06","~name_electric.pole","~1","~name_electric.pole","15194.1388762714","17936.6490570015"
"model_07","~1","~name_electric.pole","~name_electric.pole","12385.9972283122","14180.0889027379"
