"model_names","location.fun","scale.fun","shape.fun","AIC","BIC"
"model_01","~name_special.building","~name_special.building","~name_special.building","-20790.2674157153","-13661.3216433277"
"model_02","~name_special.building","~1","~1","-21223.8901660819","-19927.718207466"
"model_03","~1","~name_special.building","~1","-20979.5401784056","-19367.2287176882"
"model_04","~1","~1","~name_special.building","-20485.7839816669","-19071.0597097629"
"model_05","~name_special.building","~name_special.building","~1","-21350.2750360817","-19176.8159591343"
"model_06","~name_special.building","~1","~name_special.building","-20930.9509059811","-15627.7107582293"
"model_07","~1","~name_special.building","~name_special.building","-18907.1287966718","-13556.4677236048"
