"model_names","location.fun","scale.fun","shape.fun","AIC","BIC"
"model_01","~name_traffic.sign","~name_traffic.sign","~name_traffic.sign","5312.81766413035","9730.86720599804"
"model_02","~name_traffic.sign","~1","~1","2431.34810422913","3688.00262508238"
"model_03","~1","~name_traffic.sign","~1","2626.82599422914","3922.99795284506"
"model_04","~1","~1","~name_traffic.sign","2820.11823176108","4195.32506590237"
"model_05","~name_traffic.sign","~name_traffic.sign","~1","3373.54295140307","5499.58110303529"
"model_06","~name_traffic.sign","~1","~name_traffic.sign","3807.38978460216","6217.95348812567"
"model_07","~1","~name_traffic.sign","~name_traffic.sign","4281.64000313652","7071.57110918177"
