"model_names","location.fun","scale.fun","shape.fun","AIC","BIC"
"model_01","~area","~area","~area","77571.7137449024","81491.8435709603"
"model_02","~area","~1","~1","76349.901587276","77448.4863570785"
"model_03","~1","~area","~1","72110.3346089569","73446.0240053355"
"model_04","~1","~1","~area","71231.7668009115","72567.4561972901"
"model_05","~area","~area","~1","77736.0430138453","79814.6602401623"
"model_06","~area","~1","~area","77249.3061973573","79280.5024983591"
"model_07","~1","~area","~area","66162.9277882571","68431.2287158349"
