"GOOG.Open","GOOG.High","GOOG.Low","GOOG.Close","GOOG.Volume","GOOG.Adjusted"
2.49066400527954,2.59178495407104,2.3900420665741,2.49913311004639,897427216,2.49913311004639
2.51582002639771,2.71681690216064,2.50311803817749,2.69763898849487,458857488,2.69763898849487
2.75841093063354,2.82640600204468,2.71606993675232,2.72478699684143,366857939,2.72478699684143
2.7706151008606,2.77958106994629,2.57958102226257,2.61195993423462,306396159,2.61195993423462
2.61420106887817,2.68991804122925,2.5873019695282,2.64010405540466,184645512,2.64010405540466
2.61395192146301,2.68867206573486,2.60672903060913,2.68767595291138,142572401,2.68767595291138
2.69240808486938,2.7053599357605,2.63238310813904,2.64384007453918,124826132,2.64384007453918
2.62217092514038,2.62740206718445,2.54072690010071,2.54072690010071,104429967,2.54072690010071
2.54795002937317,2.58306789398193,2.54446291923523,2.54969310760498,98825037,2.54969310760498
2.55791211128235,2.56463694572449,2.48244500160217,2.49689102172852,183633734,2.49689102172852
2.47048997879028,2.54969310760498,2.46426296234131,2.52827310562134,303810504,2.52827310562134
2.51432609558105,2.53400206565857,2.47372794151306,2.49091291427612,103538639,2.49091291427612
2.51582002639771,2.54047799110413,2.48095107078552,2.53001689910889,117506800,2.53001689910889
2.50909495353699,2.56613206863403,2.50311803817749,2.54795002937317,100186120,2.54795002937317
2.55367803573608,2.55816102027893,2.51557111740112,2.54819893836975,81620792,2.54819893836975
2.53051495552063,2.65405201911926,2.52304291725159,2.62341690063477,174804764,2.62341690063477
2.65579509735107,2.70012903213501,2.65156102180481,2.6774640083313,157628624,2.6774640083313
2.67621898651123,2.78954410552979,2.65978002548218,2.77684211730957,217608605,2.77684211730957
2.75367903709412,2.84508609771729,2.74471211433411,2.78954410552979,215279909,2.78954410552979
2.79801201820374,2.88418889045715,2.78082704544067,2.83860993385315,186207345,2.83860993385315
2.84981799125671,2.92628192901611,2.82814908027649,2.92628192901611,190350817,2.92628192901611
2.91283202171326,3.02864789962769,2.90834903717041,2.9728569984436,213585582,2.9728569984436
2.98406505584717,2.99925804138184,2.92677998542786,2.93499898910522,145262446,2.93499898910522
2.92404007911682,2.98057794570923,2.90934491157532,2.94844794273376,152344894,2.94844794273376
2.95990610122681,3.05430197715759,2.91457509994507,3.00922107696533,171524515,3.00922107696533
3.01220893859863,3.09091401100159,2.9828200340271,2.98456311225891,183336625,2.98456311225891
2.97783803939819,3.01071500778198,2.93400311470032,2.94546008110046,141994242,2.94546008110046
3.02117609977722,3.1731059551239,2.99402809143066,3.15965700149536,340190355,3.15965700149536
3.15567207336426,3.36289501190186,3.14396595954895,3.26476311683655,613229953,3.26476311683655
3.23537302017212,3.29514908790588,3.21295690536499,3.22790098190308,276468402,3.22790098190308
3.25778889656067,3.34346795082092,3.21046590805054,3.30212306976318,303934969,3.30212306976318
3.36862397193909,3.4089720249176,3.33823704719543,3.36389088630676,261693228,3.36389088630676
3.35392904281616,3.45031690597534,3.29365491867065,3.44633197784424,300887589,3.44633197784424
3.4259090423584,3.44832491874695,3.38730406761169,3.41420292854309,268900140,3.41420292854309
3.41021800041199,3.48394107818604,3.40100193023682,3.45828700065613,283643194,3.45828700065613
3.45504999160767,3.47896003723145,3.41270804405212,3.43039202690125,222442656,3.43039202690125
3.41220998764038,3.45853710174561,3.33375406265259,3.36887288093567,210437827,3.36887288093567
3.34844899177551,3.42740297317505,3.32254600524902,3.42217302322388,234419380,3.42217302322388
3.56961989402771,3.57534909248352,3.48892307281494,3.50934600830078,397203256,3.50934600830078
3.51208591461182,3.54620790481567,3.45106506347656,3.53674292564392,209835578,3.53674292564392
3.60971999168396,3.62391710281372,3.53549790382385,3.5892961025238,265150137,3.5892961025238
3.56663107872009,3.71607089042664,3.51706695556641,3.71507501602173,282061287,3.71507501602173
3.74845004081726,3.79577302932739,3.66999411582947,3.68468904495239,363918964,3.68468904495239
3.68692994117737,3.71084094047546,3.47696709632874,3.4991340637207,456613107,3.4991340637207
3.59651899337769,3.73923397064209,3.52727890014648,3.72055411338806,585767401,3.72055411338806
4.2475790977478,4.48743009567261,4.08668184280396,4.29465293884277,1481207196,4.29465293884277
4.39353179931641,4.8425989151001,4.29764080047607,4.66750478744507,1315480331,4.66750478744507
4.64110422134399,4.79801607131958,4.48319578170776,4.52802801132202,895628499,4.52802801132202
4.55094194412231,4.72030687332153,4.52728080749512,4.63188886642456,536262538,4.63188886642456
4.64957189559937,4.84160184860229,4.62267303466797,4.81445407867432,596097978,4.81445407867432
4.95368194580078,4.98008298873901,4.74720621109009,4.74820280075073,849672890,4.74820280075073
4.82068109512329,4.92329597473145,4.76389408111572,4.88244915008545,490828877,4.88244915008545
4.95094299316406,4.96264886856079,4.81545114517212,4.85355806350708,455553149,4.85355806350708
4.93599891662598,5.02117919921875,4.75094223022461,4.7738561630249,557630330,4.7738561630249
4.69340801239014,4.7422251701355,4.5666332244873,4.60025691986084,578544429,4.60025691986084
4.53251123428345,4.54048109054565,4.1980152130127,4.21793985366821,796297573,4.21793985366821
4.25729322433472,4.36962223052979,4.21918487548828,4.29764080047607,449349985,4.29764080047607
4.33624696731567,4.36364412307739,4.11632108688354,4.20175123214722,444226854,4.20175123214722
4.250816822052,4.29689407348633,4.14272212982178,4.18082904815674,427355853,4.18082904815674
4.21246099472046,4.57659578323364,4.17360591888428,4.55841398239136,601666773,4.55841398239136
4.61345815658569,4.72728109359741,4.41843891143799,4.53300905227661,672354740,4.53300905227661
4.49440383911133,4.69041919708252,4.45206308364868,4.60449123382568,477844390,4.60449123382568
