"model_names","location.fun","scale.fun","shape.fun","AIC","BIC"
"model_02","~name_house","~1","~1","2998.44417417386","4035.6077926272"
"model_03","~1","~name_house","~1","3072.99065133885","3994.05386474144"
"model_04","~1","~1","~name_house","3829.17650374987","4788.93985216938"
"model_05","~name_house","~name_house","~1","3665.94741204576","5004.97208363104"
"model_06","~name_house","~1","~name_house","3935.20746909403","5924.39440896349"
