"model_names","location.fun","scale.fun","shape.fun","AIC","BIC","variable"
"model_00","~1","~1","~1",-21179.2661848487,-20428.4348673578,"1"
"model_02","~area","~1","~1",-20874.7392418805,-19183.3929056377,"area"
"model_03","~1","~area","~1",-21146.1737325517,-19296.7576452582,"area"
"model_04","~1","~1","~area",-20691.0180643207,-18564.9799126884,"area"
"model_05","~area","~area","~1",-20981.2656355187,-18333.5973054191,"area"
"model_06","~area","~1","~area",-20403.7457389512,-15859.2403962429,"area"
"model_07","~1","~area","~area",-20871.6242385431,-16848.7490743022,"area"
"model_01","~horizontal_left","~horizontal_left","~horizontal_left",-17874.2609969074,-11851.8034818748,"horizontal_left"
"model_02","~horizontal_left","~1","~1",-20877.5969604131,-19344.3203752211,"horizontal_left"
"model_03","~1","~horizontal_left","~1",-20574.3441441553,-18922.5152456752,"horizontal_left"
"model_04","~1","~1","~horizontal_left",-19836.5620018649,-18105.6982278594,"horizontal_left"
"model_05","~horizontal_left","~horizontal_left","~1",-22222.214334814,-18958.0739756166,"horizontal_left"
"model_06","~horizontal_left","~1","~horizontal_left",-21388.0363761311,-17791.9495397272,"horizontal_left"
"model_07","~1","~horizontal_left","~horizontal_left",-17921.3506690276,-15083.9986376671,"horizontal_left"
"model_01","~horizontal_right","~horizontal_right","~horizontal_right",-20943.7351984027,-17078.9297852125,"horizontal_right"
"model_02","~horizontal_right","~1","~1",-20625.4676603374,-19250.2608261962,"horizontal_right"
"model_03","~1","~horizontal_right","~1",-20548.549634646,-18857.2032984033,"horizontal_right"
"model_04","~1","~1","~horizontal_right",-20429.932130164,-18264.3765407691,"horizontal_right"
"model_05","~horizontal_right","~horizontal_right","~1",-19921.5754560762,-17321.3280512919,"horizontal_right"
"model_06","~horizontal_right","~1","~horizontal_right",-20463.0480796166,-17436.0123469953,"horizontal_right"
"model_07","~1","~horizontal_right","~horizontal_right",-20921.5147600852,-17894.4790274639,"horizontal_right"
"model_01","~name_bus","~name_bus","~name_bus",-16789.1390143813,-8775.00263610967,"name_bus"
"model_02","~name_bus","~1","~1",-20533.1018184268,-19039.3426709974,"name_bus"
"model_03","~1","~name_bus","~1",-20432.5908024307,-18820.2793417133,"name_bus"
"model_04","~1","~1","~name_bus",-19528.7395430812,-16809.9398250088,"name_bus"
"model_05","~name_bus","~name_bus","~1",-21261.5043986349,-18424.1523672744,"name_bus"
"model_06","~name_bus","~1","~name_bus",-16418.5814932981,-9692.7135860899,"name_bus"
"model_07","~1","~name_bus","~name_bus",-16723.3206992746,-11040.7131490012,"name_bus"
"model_01","~name_car","~name_car","~name_car",-16874.5796289054,-10796.7977010051,"name_car"
"model_02","~name_car","~1","~1",-20284.9783951337,-19028.3238742805,"name_car"
"model_03","~1","~name_car","~1",-20721.5323979045,-18951.1511861364,"name_car"
"model_04","~1","~1","~name_car",-19889.6932563925,-17447.5156026589,"name_car"
"model_05","~name_car","~name_car","~1",-19729.8734339934,-17319.3097304699,"name_car"
"model_06","~name_car","~1","~name_car",-18772.2691783526,-14180.3429103291,"name_car"
"model_07","~1","~name_car","~name_car",-18529.9218935676,-14269.9421027506,"name_car"
"model_01","~name_car..group.","~name_car..group.","~name_car..group.",-18450.7158262018,-14696.5592387471,"name_car..group."
"model_02","~name_car..group.","~1","~1",-20313.2472646506,-18819.4881172213,"name_car..group."
"model_03","~1","~name_car..group.","~1",-20301.1080987578,-18570.2443247524,"name_car..group."
"model_04","~1","~1","~name_car..group.",-20270.917520146,-18500.5363083779,"name_car..group."
"model_05","~name_car..group.","~name_car..group.","~1",-20167.1383540376,-17756.5746505141,"name_car..group."
"model_06","~name_car..group.","~1","~name_car..group.",-19424.3750724329,-16587.0230410724,"name_car..group."
"model_01","~name_electric.pole","~name_electric.pole","~name_electric.pole",-17928.7433821572,-10523.1755454309,"name_electric.pole"
"model_02","~name_electric.pole","~1","~1",-19732.1703998589,-18080.3415013789,"name_electric.pole"
"model_03","~1","~name_electric.pole","~1",-19252.7701068059,-17482.3888950378,"name_electric.pole"
"model_04","~1","~1","~name_electric.pole",-19319.2770897235,-16995.6517492779,"name_electric.pole"
"model_05","~name_electric.pole","~name_electric.pole","~1",-20475.0610742251,-17637.7090428646,"name_electric.pole"
"model_06","~name_electric.pole","~1","~name_electric.pole",-17421.0496739184,-12307.4932274275,"name_electric.pole"
"model_07","~1","~name_electric.pole","~name_electric.pole",-18481.7199274702,-14790.7912404358,"name_electric.pole"
"model_02","~name_fence","~1","~1",-20408.5776476757,-18598.6789981449,"name_fence"
"model_03","~1","~name_fence","~1",-21339.8242741361,-19490.4081868427,"name_fence"
"model_04","~1","~1","~name_fence",-20322.8631508996,-18473.4470636062,"name_fence"
"model_05","~name_fence","~name_fence","~1",-21538.7220241494,-19365.262947202,"name_fence"
"model_01","~name_house","~name_house","~name_house",-20046.1929056261,-14023.7353905936,"name_house"
"model_02","~name_house","~1","~1",-20208.595531998,-18714.8363845687,"name_house"
"model_03","~1","~name_house","~1",-20211.482138637,-18757.2404289704,"name_house"
"model_04","~1","~1","~name_house",-19905.2823715086,-17976.8314086898,"name_house"
"model_05","~name_house","~name_house","~1",-19986.2821683619,-17955.0858673602,"name_house"
"model_06","~name_house","~1","~name_house",-20619.4257269158,-15837.8157576314,"name_house"
"model_07","~1","~name_house","~name_house",-19182.8989856774,-15349.7075226974,"name_house"
"model_01","~name_house..group.","~name_house..group.","~name_house..group.",-21186.9582994157,-17764.7481891675,"name_house..group."
"model_02","~name_house..group.","~1","~1",-20342.111470894,-19164.4918255661,"name_house..group."
"model_03","~1","~name_house..group.","~1",-20660.6364550333,-19285.429620892,"name_house..group."
"model_04","~1","~1","~name_house..group.",-20239.793809563,-18548.4474733203,"name_house..group."
"model_05","~name_house..group.","~name_house..group.","~1",-19594.5117159034,-17326.2107883255,"name_house..group."
"model_06","~name_house..group.","~1","~name_house..group.",-19661.850621069,-16871.9195150238,"name_house..group."
"model_07","~1","~name_house..group.","~name_house..group.",-20148.7425091959,-17785.5997309876,"name_house..group."
"model_01","~name_person","~name_person","~name_person",-19540.0423868311,-14513.4243034181,"name_person"
"model_02","~name_person","~1","~1",-20204.9291691568,-18948.2746483035,"name_person"
"model_03","~1","~name_person","~1",-20117.1292185251,-18820.9572599092,"name_person"
"model_04","~1","~1","~name_person",-20506.39671647,-18933.6026935153,"name_person"
