"model_names","location.fun","scale.fun","shape.fun","AIC","BIC","variable"
"model_00","~1","~1","~1",-11401.1302774988,-11091.0856415038,"1"
"model_02","~area","~1","~1",-13553.4890869126,-12803.6136882271,"area"
"model_03","~1","~area","~1",-12797.9708812144,-12012.043780669,"area"
"model_04","~1","~1","~area",-15875.6407998158,-14080.2660471937,"area"
"model_05","~area","~area","~1",-15014.5728456589,-13853.7080457708,"area"
"model_01","~horizontal_left","~horizontal_left","~horizontal_left",-18772.531155539,-16760.8461917576,"horizontal_left"
"model_02","~horizontal_left","~1","~1",-14682.1748389394,-13896.247738394,"horizontal_left"
"model_03","~1","~horizontal_left","~1",-14174.4152722313,-13424.5398735457,"horizontal_left"
"model_04","~1","~1","~horizontal_left",-15486.1424223786,-14519.9568125338,"horizontal_left"
"model_05","~horizontal_left","~horizontal_left","~1",-13647.8350442512,-12616.7563710586,"horizontal_left"
"model_06","~horizontal_left","~1","~horizontal_left",-17392.4336429029,-15755.6863784643,"horizontal_left"
"model_07","~1","~horizontal_left","~horizontal_left",-16101.8534466784,-14724.678435631,"horizontal_left"
"model_01","~horizontal_right","~horizontal_right","~horizontal_right",-23195.6280266497,-21133.4706802645,"horizontal_right"
"model_02","~horizontal_right","~1","~1",-13090.5832205389,-12412.8112255732,"horizontal_right"
"model_03","~1","~horizontal_right","~1",-15369.9553206062,-14403.7697107614,"horizontal_right"
"model_04","~1","~1","~horizontal_right",-13226.2631355466,-12584.5428424407,"horizontal_right"
"model_05","~horizontal_right","~horizontal_right","~1",-14388.8038812619,-13271.2011236056,"horizontal_right"
"model_06","~horizontal_right","~1","~horizontal_right",-13537.7495182942,-11901.0022538556,"horizontal_right"
"model_07","~1","~horizontal_right","~horizontal_right",-18310.2169931657,-17235.8762777413,"horizontal_right"
"model_01","~name_bus","~name_bus","~name_bus",-13102.0803599436,-11746.5363700121,"name_bus"
"model_02","~name_bus","~1","~1",-12711.6652288231,-11997.8415319975,"name_bus"
"model_03","~1","~name_bus","~1",-15532.7543619056,-14710.7755595003,"name_bus"
"model_04","~1","~1","~name_bus",-17812.1986063804,-16846.0129965356,"name_bus"
"model_05","~name_bus","~name_bus","~1",-13183.3009380342,-12238.7463493053,"name_bus"
"model_06","~name_bus","~1","~name_bus",-14785.9375402505,-13452.0245714349,"name_bus"
"model_07","~1","~name_bus","~name_bus",-14555.2849772899,-13394.4201774017,"name_bus"
"model_02","~name_car","~1","~1",-11712.8746453725,-11071.1543522666,"name_car"
"model_03","~1","~name_car","~1",-11729.1859765277,-10943.2588759823,"name_car"
"model_04","~1","~1","~name_car",-16238.1005756296,-14839.2945434662,"name_car"
"model_05","~name_car","~name_car","~1",-14889.4502470904,-13771.8474894341,"name_car"
"model_06","~name_car","~1","~name_car",-14482.7982040123,-12716.2648128781,"name_car"
"model_07","~1","~name_car","~name_car",-16178.2321980833,-14757.7951448039,"name_car"
"model_01","~name_car..group.","~name_car..group.","~name_car..group.",-14608.0922776115,-12899.2416094531,"name_car..group."
"model_02","~name_car..group.","~1","~1",-13859.0408063029,-13109.1654076174,"name_car..group."
"model_03","~1","~name_car..group.","~1",-12545.299309747,-11687.2688054819,"name_car..group."
"model_04","~1","~1","~name_car..group.",-15371.4277350668,-14261.0353177824,"name_car..group."
"model_05","~name_car..group.","~name_car..group.","~1",-14370.714364785,-13080.0634382012,"name_car..group."
"model_06","~name_car..group.","~1","~name_car..group.",-12829.0707816509,-11322.1096439079,"name_car..group."
"model_07","~1","~name_car..group.","~name_car..group.",-14492.5476610938,-12942.3244811189,"name_car..group."
"model_01","~name_electric.pole","~name_electric.pole","~name_electric.pole",-14302.1735488639,-12189.5438198749,"name_electric.pole"
"model_02","~name_electric.pole","~1","~1",-12102.7421742695,-11424.9701793038,"name_electric.pole"
"model_03","~1","~name_electric.pole","~1",-12687.874131884,-12010.1021369182,"name_electric.pole"
"model_04","~1","~1","~name_electric.pole",-17988.4383406356,-16625.6840103321,"name_electric.pole"
"model_05","~name_electric.pole","~name_electric.pole","~1",-12760.3703262654,-11599.5055263772,"name_electric.pole"
"model_06","~name_electric.pole","~1","~name_electric.pole",-13908.2320129865,-12011.9124951568,"name_electric.pole"
"model_07","~1","~name_electric.pole","~name_electric.pole",-14780.20537675,-13316.5062812388,"name_electric.pole"
"model_01","~name_fence","~name_fence","~name_fence",-21550.1107179711,-20093.6219628319,"name_fence"
"model_02","~name_fence","~1","~1",-15222.9792293056,-14328.8970231806,"name_fence"
"model_03","~1","~name_fence","~1",-14001.2162538678,-13071.0823458829,"name_fence"
"model_04","~1","~1","~name_fence",-15995.6037326093,-14596.7977004459,"name_fence"
"model_05","~name_fence","~name_fence","~1",-16208.7358927092,-14874.8229238936,"name_fence"
"model_06","~name_fence","~1","~name_fence",-21152.2378705844,-19385.7044794503,"name_fence"
"model_07","~1","~name_fence","~name_fence",-18816.1618147259,-17049.6284235917,"name_fence"
"model_02","~name_house","~1","~1",-12329.4156609383,-11507.436858533,"name_house"
"model_03","~1","~name_house","~1",-13566.9090600798,-12708.8785558147,"name_house"
"model_05","~name_house","~name_house","~1",-14647.1326438488,-13529.5298861925,"name_house"
"model_01","~name_house..group.","~name_house..group.","~name_house..group.",-13854.8597814505,-11893.647200273,"name_house..group."
"model_02","~name_house..group.","~1","~1",-14022.0162281849,-13272.1408294994,"name_house..group."
"model_03","~1","~name_house..group.","~1",-15548.7527972027,-14690.7222929376,"name_house..group."
"model_05","~name_house..group.","~name_house..group.","~1",-12485.488923146,-11627.4584188808,"name_house..group."
"model_06","~name_house..group.","~1","~name_house..group.",-14152.3047154761,-12688.6056199649,"name_house..group."
"model_07","~1","~name_house..group.","~name_house..group.",-14562.9264959875,-12839.6551470852,"name_house..group."
"model_01","~name_person","~name_person","~name_person",-15264.7407036989,-12798.8042964831,"name_person"
"model_02","~name_person","~1","~1",-12012.1510831747,-11334.379088209,"name_person"
"model_03","~1","~name_person","~1",-13486.2812140746,-12844.5609209687,"name_person"
"model_04","~1","~1","~name_person",-16123.6950116883,-15013.302594404,"name_person"
"model_05","~name_person","~name_person","~1",-13403.4365540754,-12415.6199231146,"name_person"
"model_06","~name_person","~1","~name_person",-13902.0000800014,-12221.9907733309,"name_person"
"model_07","~1","~name_person","~name_person",-14817.5626136669,-13310.6014759239,"name_person"
"model_02","~name_special.building","~1","~1",-13370.1959319933,-12440.0620240084,"name_special.building"
"model_03","~1","~name_special.building","~1",-14115.1236424563,-13257.0931381911,"name_special.building"
"model_04","~1","~1","~name_special.building",-15806.3226721113,-14659.8785529671,"name_special.building"
