"model_names","location.fun","scale.fun","shape.fun","AIC","BIC","variable"
"model_00","~1","~1","~1",-861.123750126554,-299.976133896489,"1"
"model_02","~area","~1","~1",-561.860979175989,773.828417202617,"area"
"model_03","~1","~area","~1",-491.729396298351,804.442562317574,"area"
"model_04","~1","~1","~area",520.250186647981,2290.63139841607,"area"
"model_05","~area","~area","~1",-152.795021422396,2400.03145804677,"area"
"model_06","~area","~1","~area",1169.21705189879,4006.56908325926,"area"
"model_07","~1","~area","~area",748.147429508735,3585.4994608692,"area"
"model_01","~horizontal_left","~horizontal_left","~horizontal_left",24.7489214900365,3944.87874754796,"horizontal_left"
"model_02","~horizontal_left","~1","~1",-962.087153743895,413.119680397391,"horizontal_left"
"model_03","~1","~horizontal_left","~1",-1067.10606450597,782.310022787484,"horizontal_left"
"model_05","~horizontal_left","~horizontal_left","~1",-1070.79700794191,1482.02947152726,"horizontal_left"
"model_06","~horizontal_left","~1","~horizontal_left",98.2775651691896,3267.57607373618,"horizontal_left"
"model_01","~horizontal_right","~horizontal_right","~horizontal_right",2203.45807993402,6289.5611445952,"horizontal_right"
"model_02","~horizontal_right","~1","~1",197.223167042831,1730.49975223484,"horizontal_right"
"model_03","~1","~horizontal_right","~1",-1644.13187390955,47.2144623331833,"horizontal_right"
"model_04","~1","~1","~horizontal_right",149.713276497569,2512.85605470587,"horizontal_right"
"model_05","~horizontal_right","~horizontal_right","~1",485.804980896335,2801.52683378942,"horizontal_right"
"model_06","~horizontal_right","~1","~horizontal_right",1822.47961951376,5845.35478375464,"horizontal_right"
"model_07","~1","~horizontal_right","~horizontal_right",459.052598515574,2869.61630203909,"horizontal_right"
"model_01","~name_bus","~name_bus","~name_bus",556.799483040188,3979.00959328833,"name_bus"
"model_02","~name_bus","~1","~1",-496.90317316728,1154.92572531277,"name_bus"
"model_03","~1","~name_bus","~1",-979.651556840618,316.520401775307,"name_bus"
"model_04","~1","~1","~name_bus",481.107195515891,2370.04072057203,"name_bus"
"model_05","~name_bus","~name_bus","~1",-673.698975032298,1167.81362470862,"name_bus"
"model_06","~name_bus","~1","~name_bus",142.415268300527,2600.39989713926,"name_bus"
"model_07","~1","~name_bus","~name_bus",661.882451585049,2835.34152853248,"name_bus"
"model_01","~name_car","~name_car","~name_car",967.281165990435,4334.16686337083,"name_car"
"model_02","~name_car","~1","~1",61.5770698286296,1278.71415291919,"name_car"
"model_03","~1","~name_car","~1",-1307.46338214338,186.295765285944,"name_car"
"model_04","~1","~1","~name_car",-287.642712827018,1759.36056327984,"name_car"
"model_05","~name_car","~name_car","~1",-668.037374970829,1363.15892603096,"name_car"
