"x"
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
48.8
16
0
0
0
0
0
0
0
0
0
0
0
0
0
1
0
0
1.6
1
3.8
3
2.4
2.4
2.6
2.2
7
6
1
0
0
0
0
0
0
0
0
0
0
0
0
0
2.6
4
3
2.6
1.4
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
2.6
1.8
1.8
2.2
2.2
2.2
2
1.8
1.4
1.2
1
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
1
1
2
24.4
7.4
0
0
0
0
0
0
0
0
0
0
0
0
0
0
1.4
2.2
41.6
7.2
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
1
1.8
1.6
1.2
1
1.8
1.6
1.8
1.4
1.4
1.4
1.2
1.2
1
1
1
1
1.2
1
1.2
1
1
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
37.4
17.4
6
1.6
1
1.6
1.8
3.2
4
4.6
4.4
4.2
3.6
3.4
3
2.8
2.8
2.6
2.8
2.6
2.8
3
3.2
5
6.4
7.2
7.4
6.4
5.8
6.2
5.6
4.6
3.4
2
2
1.8
1.4
1.4
1.4
1.4
1
1
1
1.2
1.2
1
1
1
0
0
0
0
0
2.2
1.6
0
1
1.6
1.8
0
0
0
0
0
0
0
0
0
0
0
0
0
1.6
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
1
0
0
1.4
1
1.4
2.8
1
1.6
1.8
2.8
1.6
1
1.6
1.8
1.8
3.8
4
1.8
2.4
1.2
2
3.4
3.2
2.2
2.6
2.6
1.8
1
1.8
1
0
0
2
2
1.6
1
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
1
1
1.6
1.6
1.6
1.4
1.2
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
1
0
1
1.6
2
2
1.4
1.4
2
1.2
1.2
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
1.4
2.6
2.8
2
1.2
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
1.8
1.6
0
1.8
1.8
0
0
0
0
0
0
0
0
0
0
1.2
2.8
2
1.8
1.6
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
1.8
4
1.4
1
2.6
5.6
4
2
1
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
1.2
1.6
2.4
3.4
3.2
4.2
4.8
6.8
6.8
8.2
1.2
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
1.4
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
1.8
6.6
1.6
1.6
2
1
1.6
1.8
1.8
5.6
3.4
2.2
4.2
8.2
4.4
5
6.6
3.8
5.2
4.6
5.6
3.6
0
0
0
0
3.4
1.2
1.4
1.8
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
1.6
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
1.4
1.6
1.6
1.2
1.2
2.8
3.4
2.4
1.8
1.8
1.4
1.4
1.2
1
1
