"model_names","location.fun","scale.fun","shape.fun","AIC","BIC"
"model_02","~name_street.light","~1","~1","-1365.2124826604","-385.180026145916"
"model_03","~1","~name_street.light","~1","-2548.38419174946","-1094.14248208281"
"model_04","~1","~1","~name_street.light","-4368.58671725155","-2163.51369009397"
"model_05","~name_street.light","~name_street.light","~1","-3945.25885303188","-1629.5370001388"
"model_07","~1","~name_street.light","~name_street.light","-5740.07773265119","-3329.51402912767"
