"model_names","location.fun","scale.fun","shape.fun","AIC","BIC"
"model_01","~object","~object","~object","-12394.254208794","-8861.39527281032"
"model_02","~object","~1","~1","-17981.0324544512","-16842.930246886"
"model_03","~1","~object","~1","-21679.0572111718","-20145.7806259798"
"model_04","~1","~1","~object","-20356.4878029378","-18507.0717156444"
"model_05","~object","~object","~1","-17919.0725659644","-15650.7716383865"
"model_06","~object","~1","~object","-16745.5344101418","-14192.7079306726"
"model_07","~1","~object","~object","-19532.8885633633","-16980.0620838941"
