"model_names","location.fun","scale.fun","shape.fun","AIC","BIC"
"model_01","~object","~object","~object","75233.7395403007","78158.0299347391"
"model_02","~object","~1","~1","73162.2307447455","74023.7108879719"
"model_03","~1","~object","~1","71789.1598735152","72887.7446433177"
"model_04","~1","~1","~object","71418.7233080509","72398.7557645654"
"model_05","~object","~object","~1","73296.2205543195","75042.89130343"
"model_06","~object","~1","~object","75341.7430476465","77515.202124594"
"model_07","~1","~object","~object","69000.111259356","71031.3075603578"
