"model_names","location.fun","scale.fun","shape.fun","AIC","BIC"
"model_02","~area","~1","~1","-15534.6014650743","-14110.4364964518"
"model_03","~1","~area","~1","-16675.8703250922","-15135.604951419"
"model_04","~1","~1","~area","-22199.7448217774","-20349.8783679689"
"model_05","~area","~area","~1","-16977.9999378902","-14942.3728360005"
"model_07","~1","~area","~area","-18348.0287194444","-16126.6409694734"
