"model_names","location.fun","scale.fun","shape.fun","AIC","BIC"
"model_01","~vertical_down","~vertical_down","~vertical_down","-24798.8268309925","-22635.7247193997"
"model_02","~vertical_down","~1","~1","-20510.3219779302","-19255.7227532064"
"model_03","~1","~vertical_down","~1","-22547.6889808974","-21545.4516691927"
"model_04","~1","~1","~vertical_down","-26331.371565709","-24860.4621298258"
"model_05","~vertical_down","~vertical_down","~1","-20368.8438459346","-19078.1929193508"
"model_06","~vertical_down","~1","~vertical_down","-24765.5544269922","-22739.4487824669"
"model_07","~1","~vertical_down","~vertical_down","-26172.5772167883","-24406.0438256541"
