"model_names","location.fun","scale.fun","shape.fun","AIC","BIC"
"model_01","~name_tree","~name_tree","~name_tree","70235.1924864335","73657.4025966817"
"model_02","~name_tree","~1","~1","78395.5137402741","79612.6508233647"
"model_03","~1","~name_tree","~1","70612.0215315599","72026.7458034638"
"model_04","~1","~1","~name_tree","75075.9024572024","76846.2836689705"
"model_05","~name_tree","~name_tree","~1","77874.3368632371","80284.9005667606"
"model_06","~name_tree","~1","~name_tree","78843.8205327178","81444.0679375022"
"model_07","~1","~name_tree","~name_tree","71678.2910637378","74468.222169783"
