"model_names","location.fun","scale.fun","shape.fun","AIC","BIC"
"model_01","~area","~area","~area","15562.9536621902","18886.9205736712"
"model_02","~area","~1","~1","9953.4326019636","10811.4631062288"
"model_03","~1","~area","~1","11328.7237856167","12475.1679047609"
"model_04","~1","~1","~area","12649.6695076071","14012.4238379106"
"model_05","~area","~area","~1","12346.4756921699","14199.5331677678"
"model_06","~area","~1","~area","12873.5228138584","14813.10437392"
"model_07","~1","~area","~area","12437.6099612483","14160.8813101506"
