"model_names","location.fun","scale.fun","shape.fun","AIC","BIC"
"model_01","~name_person","~name_person","~name_person","344.136672863016","3502.62964452209"
"model_02","~name_person","~1","~1","-2571.56366375071","-1390.96192191698"
"model_03","~1","~name_person","~1","-1748.2692090732","-261.017664165771"
"model_04","~1","~1","~name_person","-2313.58638317411","-864.666063650891"
"model_05","~name_person","~name_person","~1","-662.082932037039","1538.12940501673"
"model_06","~name_person","~1","~name_person","-886.974516761503","1681.21758398071"
"model_07","~1","~name_person","~name_person","368.109947198916","2568.32228425269"
