"model_names","location.fun","scale.fun","shape.fun","AIC","BIC"
"model_01","~name_car..group.","~name_car..group.","~name_car..group.","-31748.8997919003","-30040.0491237419"
"model_02","~name_car..group.","~1","~1","-22856.699154061","-21962.6169479359"
"model_03","~1","~name_car..group.","~1","-22672.6657410222","-21814.6352367571"
"model_04","~1","~1","~name_car..group.","-32604.8124188732","-31638.6268090284"
"model_05","~name_car..group.","~name_car..group.","~1","-25370.3837338007","-24166.2568916806"
"model_06","~name_car..group.","~1","~name_car..group.","-29782.6184212651","-28189.1331990584"
"model_07","~1","~name_car..group.","~name_car..group.","-29612.4423527946","-28365.0534684428"
