"model_names","location.fun","scale.fun","shape.fun","AIC","BIC"
"model_01","~vertical_up","~vertical_up","~vertical_up","-62873.7822725866","-58898.3280336609"
"model_02","~vertical_up","~1","~1","-58706.4828054918","-57410.3108468759"
"model_03","~1","~vertical_up","~1","-61257.482454008","-59684.6884310533"
"model_04","~1","~1","~vertical_up","-66817.3926068405","-64967.976519547"
"model_05","~vertical_up","~vertical_up","~1","-61900.1819238333","-59726.7228468859"
"model_06","~vertical_up","~1","~vertical_up","-62386.9833667372","-60355.7870657354"
"model_07","~1","~vertical_up","~vertical_up","-61271.5278783773","-59287.7525026908"
