"model_names","location.fun","scale.fun","shape.fun","AIC","BIC"
"model_02","~vertical_down","~1","~1","-4044.23527800285","-3186.20477373768"
"model_03","~1","~vertical_down","~1","-4651.78752205543","-3685.60191221062"
"model_04","~1","~1","~vertical_down","-7484.22330836467","-5941.21046876176"
"model_05","~vertical_down","~vertical_down","~1","-3825.99630585108","-2492.08333703549"
