"model_names","location.fun","scale.fun","shape.fun","AIC","BIC","variable"
"model_00","~1","~1","~1",3828.05562765175,4098.95657277015,"1"
"model_01","~area","~area","~area",4683.40063263892,7872.29175803275,"area"
"model_02","~area","~1","~1",3985.39849002537,5099.96237851254,"area"
"model_03","~1","~area","~1",3490.61986319685,4566.4836166671,"area"
"model_04","~1","~1","~area",3951.47294409653,5182.13723763445,"area"
"model_05","~area","~area","~1",3522.56532558866,4908.03015919424,"area"
"model_06","~area","~1","~area",4082.54572615846,6443.25396219031,"area"
"model_07","~1","~area","~area",3429.24863457816,5650.63638454911,"area"
"model_01","~horizontal_left","~horizontal_left","~horizontal_left",5119.43025001499,8904.30345466932,"horizontal_left"
"model_02","~horizontal_left","~1","~1",4157.57318034229,5078.63639374488,"horizontal_left"
"model_03","~1","~horizontal_left","~1",4009.15623111752,4775.41890445244,"horizontal_left"
"model_04","~1","~1","~horizontal_left",3859.76956135337,4858.23304478979,"horizontal_left"
"model_05","~horizontal_left","~horizontal_left","~1",4080.06564476602,5744.17145049338,"horizontal_left"
"model_06","~horizontal_left","~1","~horizontal_left",3956.93289266789,5992.55999455765,"horizontal_left"
"model_07","~1","~horizontal_left","~horizontal_left",5100.28599672172,6625.07131638819,"horizontal_left"
"model_01","~horizontal_right","~horizontal_right","~horizontal_right",5161.3591093551,8025.16910060684,"horizontal_right"
"model_02","~horizontal_right","~1","~1",3963.44561010961,5116.70963361369,"horizontal_right"
"model_03","~1","~horizontal_right","~1",3615.73209374548,4575.49544216498,"horizontal_right"
"model_04","~1","~1","~horizontal_right",4144.09130199744,5723.05681068759,"horizontal_right"
"model_05","~horizontal_right","~horizontal_right","~1",3851.48456273425,5562.03053048192,"horizontal_right"
"model_06","~horizontal_right","~1","~horizontal_right",5547.82819637409,7862.09627038563,"horizontal_right"
"model_07","~1","~horizontal_right","~horizontal_right",4282.5562462141,6178.86286204296,"horizontal_right"
"model_02","~name_bus","~1","~1",4034.94516464281,5110.80891811306,"name_bus"
"model_03","~1","~name_bus","~1",3268.94780668655,4344.8115601568,"name_bus"
"model_05","~name_bus","~name_bus","~1",4534.27530258652,6384.14175639508,"name_bus"
"model_06","~name_bus","~1","~name_bus",3941.77350839186,6348.921906444,"name_bus"
"model_07","~1","~name_bus","~name_bus",3553.65171530551,5775.03946527646,"name_bus"
"model_01","~name_car","~name_car","~name_car",4293.37941610348,8024.07243173413,"name_car"
"model_02","~name_car","~1","~1",3619.06250778555,4578.82585620505,"name_car"
"model_03","~1","~name_car","~1",3323.18130484898,4321.6447882854,"name_car"
"model_04","~1","~1","~name_car",3906.37343192934,5330.53840055183,"name_car"
