"model_names","location.fun","scale.fun","shape.fun","AIC","BIC","variable"
"model_00","~1","~1","~1",-3380.87281055047,-2775.23944947992,"1"
"model_02","~area","~1","~1",-2265.97922713389,-778.727682226463,"area"
"model_03","~1","~area","~1",-2658.3915368138,-1094.47754113795,"area"
"model_04","~1","~1","~area",-2606.30645882409,-850.736336227172,"area"
"model_05","~area","~area","~1",-1896.22485325344,487.977365644556,"area"
"model_07","~1","~area","~area",-2147.75530615853,6.45956043419028,"area"
"model_01","~horizontal_left","~horizontal_left","~horizontal_left",998.559337476523,4318.04345574929,"horizontal_left"
"model_02","~horizontal_left","~1","~1",-623.055065503732,864.196479403697,"horizontal_left"
"model_03","~1","~horizontal_left","~1",-2142.61754487222,-885.353352270065,"horizontal_left"
"model_05","~horizontal_left","~horizontal_left","~1",-1165.92349749351,1126.28378048238,"horizontal_left"
"model_06","~horizontal_left","~1","~horizontal_left",936.064818183499,4056.22656445836,"horizontal_left"
"model_07","~1","~horizontal_left","~horizontal_left",-966.410727308019,1693.7763143563,"horizontal_left"
"model_01","~horizontal_right","~horizontal_right","~horizontal_right",3803.40267550131,6371.59477624352,"horizontal_right"
"model_02","~horizontal_right","~1","~1",2565.26944799272,4129.18344366857,"horizontal_right"
"model_03","~1","~horizontal_right","~1",1091.88080659045,2655.7948022663,"horizontal_right"
"model_04","~1","~1","~horizontal_right",695.126741731578,2412.36563894428,"horizontal_right"
"model_05","~horizontal_right","~horizontal_right","~1",2535.12496742128,4735.33730447506,"horizontal_right"
"model_06","~horizontal_right","~1","~horizontal_right",4983.47713874969,7321.68188718663,"horizontal_right"
"model_07","~1","~horizontal_right","~horizontal_right",1619.32894768271,4003.5311665807,"horizontal_right"
"model_02","~name_bus","~1","~1",-3061.40767897589,-1689.1498102211,"name_bus"
"model_03","~1","~name_bus","~1",-2622.30244928932,-1135.05090438189,"name_bus"
"model_04","~1","~1","~name_bus",-3071.42262290682,-1469.17740184676,"name_bus"
"model_05","~name_bus","~name_bus","~1",-1731.98809599277,560.219181983109,"name_bus"
"model_06","~name_bus","~1","~name_bus",-1191.89456231072,1376.29753843149,"name_bus"
"model_07","~1","~name_bus","~name_bus",-2401.46023363026,-109.252955654382,"name_bus"
"model_02","~name_car","~1","~1",-1959.76723324966,-549.178139110651,"name_car"
"model_03","~1","~name_car","~1",966.298365121757,2606.87481156603,"name_car"
"model_04","~1","~1","~name_car",2892.81363500122,5338.34581451395,"name_car"
"model_05","~name_car","~name_car","~1",1382.62925475637,3352.85423950487,"name_car"
"model_07","~1","~name_car","~name_car",3914.16722739155,7448.30620781591,"name_car"
"model_01","~name_car..group.","~name_car..group.","~name_car..group.",-1244.10822995602,948.437862020912,"name_car..group."
"model_02","~name_car..group.","~1","~1",-639.738839696192,847.512705211237,"name_car..group."
"model_03","~1","~name_car..group.","~1",-286.456627789179,970.807564812977,"name_car..group."
"model_04","~1","~1","~name_car..group.",-1814.92322318755,-212.678002127487,"name_car..group."
"model_05","~name_car..group.","~name_car..group.","~1",-154.251262322024,1815.97372242648,"name_car..group."
"model_06","~name_car..group.","~1","~name_car..group.",-793.828616019104,992.406486885179,"name_car..group."
"model_07","~1","~name_car..group.","~name_car..group.",89.8790795324637,1554.13188920937,"name_car..group."
"model_01","~name_electric.pole","~name_electric.pole","~name_electric.pole",-2434.35320994382,1099.78577048054,"name_electric.pole"
"model_02","~name_electric.pole","~1","~1",-2030.07289157675,-427.827670516683,"name_electric.pole"
"model_03","~1","~name_electric.pole","~1",-3934.44190743078,-2638.84648944441,"name_electric.pole"
"model_04","~1","~1","~name_electric.pole",-2872.45155125048,-1078.55020326936,"name_electric.pole"
"model_05","~name_electric.pole","~name_electric.pole","~1",-2512.7794691945,-36.5823093743988,"name_electric.pole"
"model_06","~name_electric.pole","~1","~name_electric.pole",-2089.24282969016,18.9745664415041,"name_electric.pole"
"model_07","~1","~name_electric.pole","~name_electric.pole",-2597.57140916977,-581.348953960212,"name_electric.pole"
"model_02","~name_fence","~1","~1",-3088.49096322753,-1371.25206601483,"name_fence"
"model_03","~1","~name_fence","~1",-2774.11238015669,-1440.18573678611,"name_fence"
"model_04","~1","~1","~name_fence",-2894.87407304781,-1330.96007737195,"name_fence"
"model_05","~name_fence","~name_fence","~1",-339.248493588752,2458.93095945873,"name_fence"
"model_06","~name_fence","~1","~name_fence",-94.3757940870287,2565.81124757729,"name_fence"
"model_01","~name_house","~name_house","~name_house",-1245.2648135338,1376.59100274631,"name_house"
"model_02","~name_house","~1","~1",546.602356628087,1995.5226761513,"name_house"
"model_03","~1","~name_house","~1",-3445.52989128478,-2379.92182560369,"name_house"
"model_04","~1","~1","~name_house",-2512.48816506825,-1101.89907092925,"name_house"
"model_05","~name_house","~name_house","~1",-2340.38468393656,-1198.11416748704,"name_house"
"model_06","~name_house","~1","~name_house",2141.8558871266,5308.01510386252,"name_house"
"model_07","~1","~name_house","~name_house",-1806.03191448763,854.155127176684,"name_house"
"model_02","~name_house..group.","~1","~1",-3207.29281647039,-1911.69739848402,"name_house..group."
"model_03","~1","~name_house..group.","~1",-3297.56540716027,-1925.30753840548,"name_house..group."
"model_05","~name_house..group.","~name_house..group.","~1",-2099.38062265813,-175.153108370688,"name_house..group."
"model_01","~name_person","~name_person","~name_person",344.136672863016,3502.62964452209,"name_person"
"model_02","~name_person","~1","~1",-2571.56366375071,-1390.96192191698,"name_person"
"model_03","~1","~name_person","~1",-1748.2692090732,-261.017664165771,"name_person"
"model_04","~1","~1","~name_person",-2313.58638317411,-864.666063650891,"name_person"
"model_05","~name_person","~name_person","~1",-662.082932037039,1538.12940501673,"name_person"
"model_06","~name_person","~1","~name_person",-886.974516761503,1681.21758398071,"name_person"
"model_07","~1","~name_person","~name_person",368.109947198916,2568.32228425269,"name_person"
"model_02","~name_special.building","~1","~1",-2961.96264969282,-1858.02335862752,"name_special.building"
"model_03","~1","~name_special.building","~1",-2418.1426749472,-1237.54093311347,"name_special.building"
"model_04","~1","~1","~name_special.building",-2455.33525554082,-661.433907559691,"name_special.building"
"model_05","~name_special.building","~name_special.building","~1",-2724.01002303095,-247.81286321085,"name_special.building"
"model_07","~1","~name_special.building","~name_special.building",-2657.28430560161,-917.046673158387,"name_special.building"
"model_02","~name_street.light","~1","~1",-2350.58670533037,-978.328836575581,"name_street.light"
"model_03","~1","~name_street.light","~1",-3043.45762121846,-1709.53097784788,"name_street.light"
"model_04","~1","~1","~name_street.light",-2469.83942315883,-637.606849793498,"name_street.light"
"model_05","~name_street.light","~name_street.light","~1",-2754.06923927822,-691.849313607608,"name_street.light"
"model_01","~name_tenement","~name_tenement","~name_tenement",-1445.07783795267,1015.78683171374,"name_tenement"
"model_02","~name_tenement","~1","~1",-438.73300494153,1010.18731458169,"name_tenement"
"model_03","~1","~name_tenement","~1",-2302.04485821627,-929.786989461474,"name_tenement"
"model_04","~1","~1","~name_tenement",-2511.11679071048,-832.20911888199,"name_tenement"
"model_05","~name_tenement","~name_tenement","~1",-450.08539795127,1658.13199818039,"name_tenement"
"model_06","~name_tenement","~1","~name_tenement",-1083.78982345402,978.430102216594,"name_tenement"
"model_07","~1","~name_tenement","~name_tenement",-2020.8144838835,41.4054417871062,"name_tenement"
"model_01","~name_traffic.light","~name_traffic.light","~name_traffic.light",-1580.60723780331,1524.22201831787,"name_traffic.light"
"model_02","~name_traffic.light","~1","~1",-2595.27898596085,-1031.364990285,"name_traffic.light"
"model_03","~1","~name_traffic.light","~1",-2396.29451422958,-870.711743937937,"name_traffic.light"
"model_04","~1","~1","~name_traffic.light",-2410.8412797124,-578.608706347064,"name_traffic.light"
"model_05","~name_traffic.light","~name_traffic.light","~1",-2117.52120136907,-193.293687081625,"name_traffic.light"
"model_06","~name_traffic.light","~1","~name_traffic.light",-1759.94436140352,854.24520979974,"name_traffic.light"
"model_07","~1","~name_traffic.light","~name_traffic.light",-1528.87275479093,1361.30163917866,"name_traffic.light"
"model_01","~name_traffic.sign","~name_traffic.sign","~name_traffic.sign",2070.49195923012,4692.34777551023,"name_traffic.sign"
"model_02","~name_traffic.sign","~1","~1",-613.8395657662,911.743204525441,"name_traffic.sign"
"model_03","~1","~name_traffic.sign","~1",1102.28658159871,2627.86935189035,"name_traffic.sign"
"model_04","~1","~1","~name_traffic.sign",-130.48132373631,1471.76389732376,"name_traffic.sign"
"model_05","~name_traffic.sign","~name_traffic.sign","~1",830.295363624291,2754.52287791174,"name_traffic.sign"
"model_06","~name_traffic.sign","~1","~name_traffic.sign",1296.94734808473,3497.1596851385,"name_traffic.sign"
"model_07","~1","~name_traffic.sign","~name_traffic.sign",1950.08705303613,4058.30444916779,"name_traffic.sign"
"model_01","~name_tree","~name_tree","~name_tree",-989.846347021743,1953.99176248575,"name_tree"
"model_02","~name_tree","~1","~1",-2368.99501670096,-805.081021025105,"name_tree"
"model_03","~1","~name_tree","~1",-1921.83723730393,-357.92324162808,"name_tree"
"model_04","~1","~1","~name_tree",-2692.16005557477,-629.940129904157,"name_tree"
"model_05","~name_tree","~name_tree","~1",-369.823152600177,1922.38412537571,"name_tree"
"model_06","~name_tree","~1","~name_tree",-1865.05864545822,335.153691595557,"name_tree"
"model_07","~1","~name_tree","~name_tree",-2122.61780610448,169.589471871408,"name_tree"
"model_01","~name_tree..group.","~name_tree..group.","~name_tree..group.",-1775.86312488723,1167.97498462026,"name_tree..group."
"model_02","~name_tree..group.","~1","~1",-2317.42723227635,-906.838138137346,"name_tree..group."
"model_03","~1","~name_tree..group.","~1",-1734.43582648641,-438.84040850004,"name_tree..group."
"model_04","~1","~1","~name_tree..group.",-3412.33875808574,-1925.08721317831,"name_tree..group."
"model_05","~name_tree..group.","~name_tree..group.","~1",-639.945521231368,1514.26934536135,"name_tree..group."
"model_06","~name_tree..group.","~1","~name_tree..group.",-3048.97785790709,-1032.75540269754,"name_tree..group."
"model_07","~1","~name_tree..group.","~name_tree..group.",-2813.56174805747,-751.341822386855,"name_tree..group."
"model_02","~name_truck","~1","~1",-2411.18160723411,-1077.25496386353,"name_truck"
"model_03","~1","~name_truck","~1",-2689.84977044891,-1317.59190169412,"name_truck"
"model_04","~1","~1","~name_truck",-2386.54713635452,-630.977013757609,"name_truck"
"model_05","~name_truck","~name_truck","~1",-2163.584714335,-285.354670508612,"name_truck"
"model_06","~name_truck","~1","~name_truck",448.198244592302,2970.39287487346,"name_truck"
"model_07","~1","~name_truck","~name_truck",-1485.08716407787,623.130232053794,"name_truck"
"model_01","~object","~object","~object",7027.86301823703,10454.6745675856,"object"
"model_02","~object","~1","~1",3297.51725021675,4708.10634435575,"object"
"model_03","~1","~object","~1",1675.43432700091,3392.67322421361,"object"
"model_04","~1","~1","~object",2993.91769231679,5017.80639260319,"object"
"model_05","~object","~object","~1",107.36071472261,2031.58822901006,"object"
"model_06","~object","~1","~object",6736.37310757053,9028.58038554642,"object"
"model_07","~1","~object","~object",7977.41471842526,10545.6068191675,"object"
"model_01","~velocity","~velocity","~velocity",8296.05032356658,11025.2335709225,"velocity"
