"model_names","location.fun","scale.fun","shape.fun","AIC","BIC"
"model_02","~name_truck","~1","~1","-5374.81270341068","-3802.01868045599"
"model_03","~1","~name_truck","~1","-5418.47563217541","-3885.1990469834"
"model_04","~1","~1","~name_truck","-5921.61012821305","-3597.98478776743"
"model_05","~name_truck","~name_truck","~1","-5085.92146077363","-2865.04145851098"
"model_06","~name_truck","~1","~name_truck","-6634.96925252461","-2801.77778954459"
