"model_names","location.fun","scale.fun","shape.fun","AIC","BIC"
"model_01","~name_person","~name_person","~name_person","-50994.0373151562","-47350.5295534371"
"model_02","~name_person","~1","~1","-42765.4957976143","-41548.3587145238"
"model_03","~1","~name_person","~1","-44690.8224486203","-43315.615614479"
"model_04","~1","~1","~name_person","-49969.0418705948","-48317.2129721148"
"model_05","~name_person","~name_person","~1","-44411.6114843055","-42759.7825858254"
"model_06","~name_person","~1","~name_person","-50559.5588605883","-47769.627754543"
"model_07","~1","~name_person","~name_person","-47265.6340468738","-44428.2820155134"
