"model_names","location.fun","scale.fun","shape.fun","AIC","BIC"
"model_01","~name_special.building","~name_special.building","~name_special.building","78892.9116914586","81042.6603057484"
"model_02","~name_special.building","~1","~1","77119.2754048073","78415.4473634232"
"model_03","~1","~name_special.building","~1","77351.9455319019","78490.0477394671"
"model_04","~1","~1","~name_special.building","77831.248840349","78811.2812968634"
"model_05","~name_special.building","~name_special.building","~1","77533.3341767906","78758.3747474337"
"model_06","~name_special.building","~1","~name_special.building","76360.4373209443","77964.8452941092"
"model_07","~1","~name_special.building","~name_special.building","77924.9585203251","79244.8409415987"
